Transaction Type Index,Transaction Name,Start Time (microseconds),Latency (microseconds),Worker Id (start number),Phase Id (index in config file)
8,NewPurchase,1687758890.522147,28,0,1
7,NewItem,1687758890.522215,13141,0,1
8,NewPurchase,1687758890.535377,30,0,1
2,GetUserInfo,1687758890.535413,1061,0,1
1,GetItem,1687758890.536487,1007,0,1
7,NewItem,1687758890.537505,3220,0,1
1,GetItem,1687758890.540737,940,0,1
1,GetItem,1687758890.541687,901,0,1
3,NewBid,1687758890.542598,2528,0,1
3,NewBid,1687758890.545139,1876,0,1
3,NewBid,1687758890.547047,1744,0,1
1,GetItem,1687758890.548804,1168,0,1
1,GetItem,1687758890.549984,1421,0,1
3,NewBid,1687758890.551420,1971,0,1
7,NewItem,1687758890.553404,5024,0,1
1,GetItem,1687758890.558445,965,0,1
1,GetItem,1687758890.559422,831,0,1
9,UpdateItem,1687758890.560263,646,0,1
1,GetItem,1687758890.560918,825,0,1
1,GetItem,1687758890.561753,1006,0,1
1,GetItem,1687758890.562769,918,0,1
2,GetUserInfo,1687758890.563697,1503,0,1
1,GetItem,1687758890.565210,734,0,1
7,NewItem,1687758890.565954,2602,0,1
3,NewBid,1687758890.568568,2301,0,1
1,GetItem,1687758890.570882,706,0,1
3,NewBid,1687758890.571598,1657,0,1
1,GetItem,1687758890.573267,770,0,1
1,GetItem,1687758890.574046,693,0,1
1,GetItem,1687758890.574749,672,0,1
3,NewBid,1687758890.575430,1468,0,1
1,GetItem,1687758890.576911,680,0,1
3,NewBid,1687758890.577600,1410,0,1
3,NewBid,1687758890.579039,46318,0,1
2,GetUserInfo,1687758890.625379,1334,0,1
1,GetItem,1687758890.626726,793,0,1
1,GetItem,1687758890.627528,731,0,1
1,GetItem,1687758890.628266,667,0,1
1,GetItem,1687758890.628941,694,0,1
1,GetItem,1687758890.629643,642,0,1
9,UpdateItem,1687758890.630293,618,0,1
1,GetItem,1687758890.630920,768,0,1
7,NewItem,1687758890.631697,4345,0,1
1,GetItem,1687758890.636079,689,0,1
9,UpdateItem,1687758890.636777,569,0,1
3,NewBid,1687758890.637354,32750,0,1
1,GetItem,1687758890.670126,852,0,1
3,NewBid,1687758890.670991,1330,0,1
7,NewItem,1687758890.672332,5462,0,1
1,GetItem,1687758890.677807,692,0,1
1,GetItem,1687758890.678507,673,0,1
3,NewBid,1687758890.679189,1412,0,1
1,GetItem,1687758890.680614,673,0,1
5,NewCommentResponse,1687758890.681295,29,0,1
1,GetItem,1687758890.681356,739,0,1
1,GetItem,1687758890.682111,659,0,1
7,NewItem,1687758890.682779,5514,0,1
3,NewBid,1687758890.688303,1313,0,1
1,GetItem,1687758890.689625,740,0,1
1,GetItem,1687758890.690373,693,0,1
1,GetItem,1687758890.691075,644,0,1
1,GetItem,1687758890.691727,684,0,1
9,UpdateItem,1687758890.692419,552,0,1
3,NewBid,1687758890.693000,1412,0,1
1,GetItem,1687758890.694421,632,0,1
1,GetItem,1687758890.695061,652,0,1
1,GetItem,1687758890.695722,640,0,1
1,GetItem,1687758890.696369,612,0,1
6,NewFeedback,1687758890.696990,1530,0,1
1,GetItem,1687758890.698553,705,0,1
1,GetItem,1687758890.699266,708,0,1
2,GetUserInfo,1687758890.699982,637,0,1
1,GetItem,1687758890.700627,635,0,1
3,NewBid,1687758890.701270,1294,0,1
1,GetItem,1687758890.702572,705,0,1
1,GetItem,1687758890.703286,689,0,1
9,UpdateItem,1687758890.703983,616,0,1
7,NewItem,1687758890.704607,3371,0,1
1,GetItem,1687758890.707989,708,0,1
3,NewBid,1687758890.708706,1651,0,1
3,NewBid,1687758890.710367,1328,0,1
1,GetItem,1687758890.711705,782,0,1
1,GetItem,1687758890.712495,741,0,1
1,GetItem,1687758890.713244,667,0,1
8,NewPurchase,1687758890.713920,8,0,1
1,GetItem,1687758890.713932,694,0,1
1,GetItem,1687758890.714634,631,0,1
2,GetUserInfo,1687758890.715273,689,0,1
1,GetItem,1687758890.715970,678,0,1
1,GetItem,1687758890.716656,613,0,1
1,GetItem,1687758890.717276,631,0,1
1,GetItem,1687758890.717914,690,0,1
8,NewPurchase,1687758890.718612,7,0,1
8,NewPurchase,1687758890.718642,4,0,1
7,NewItem,1687758890.718650,2210,0,1
1,GetItem,1687758890.720870,656,0,1
6,NewFeedback,1687758890.721534,1194,0,1
9,UpdateItem,1687758890.722736,536,0,1
1,GetItem,1687758890.723279,649,0,1
1,GetItem,1687758890.723935,670,0,1
3,NewBid,1687758890.724613,1328,0,1
1,GetItem,1687758890.725951,614,0,1
8,NewPurchase,1687758890.726572,7,0,1
2,GetUserInfo,1687758890.726583,929,0,1
3,NewBid,1687758890.727520,1221,0,1
3,NewBid,1687758890.728759,1260,0,1
1,GetItem,1687758890.730028,636,0,1
1,GetItem,1687758890.730671,717,0,1
9,UpdateItem,1687758890.731397,542,0,1
1,GetItem,1687758890.731946,671,0,1
9,UpdateItem,1687758890.732624,910,0,1
8,NewPurchase,1687758890.733542,8,0,1
1,GetItem,1687758890.733554,659,0,1
1,GetItem,1687758890.734220,646,0,1
2,GetUserInfo,1687758890.734874,1020,0,1
1,GetItem,1687758890.735903,686,0,1
1,GetItem,1687758890.736596,621,0,1
2,GetUserInfo,1687758890.737225,511,0,1
6,NewFeedback,1687758890.737742,1222,0,1
9,UpdateItem,1687758890.738972,524,0,1
2,GetUserInfo,1687758890.739504,496,0,1
1,GetItem,1687758890.740006,601,0,1
2,GetUserInfo,1687758890.740613,1997,0,1
1,GetItem,1687758890.742619,690,0,1
4,NewComment,1687758890.743320,1995,0,1
8,NewPurchase,1687758890.745339,10,0,1
3,NewBid,1687758890.745393,1577,0,1
2,GetUserInfo,1687758890.747001,444,0,1
1,GetItem,1687758890.747473,680,0,1
2,GetUserInfo,1687758890.748161,1263,0,1
2,GetUserInfo,1687758890.749433,2378,0,1
1,GetItem,1687758890.751820,680,0,1
1,GetItem,1687758890.752507,671,0,1
1,GetItem,1687758890.753186,646,0,1
1,GetItem,1687758890.753838,705,0,1
1,GetItem,1687758890.754549,709,0,1
2,GetUserInfo,1687758890.755266,1896,0,1
3,NewBid,1687758890.757170,31928,0,1
1,GetItem,1687758890.789113,688,0,1
1,GetItem,1687758890.789813,665,0,1
2,GetUserInfo,1687758890.790486,428,0,1
1,GetItem,1687758890.790919,716,0,1
1,GetItem,1687758890.791644,716,0,1
1,GetItem,1687758890.792368,608,0,1
3,NewBid,1687758890.792984,1284,0,1
1,GetItem,1687758890.794277,635,0,1
1,GetItem,1687758890.794918,594,0,1
1,GetItem,1687758890.795520,627,0,1
3,NewBid,1687758890.796153,1310,0,1
1,GetItem,1687758890.797472,640,0,1
3,NewBid,1687758890.798119,1173,0,1
3,NewBid,1687758890.799300,1181,0,1
3,NewBid,1687758890.800490,1147,0,1
7,NewItem,1687758890.801648,2330,0,1
1,GetItem,1687758890.803988,639,0,1
1,GetItem,1687758890.804634,641,0,1
3,NewBid,1687758890.805283,1251,0,1
3,NewBid,1687758890.806542,1165,0,1
2,GetUserInfo,1687758890.807716,2382,0,1
2,GetUserInfo,1687758890.810108,1914,0,1
3,NewBid,1687758890.812030,1298,0,1
1,GetItem,1687758890.813337,741,0,1
1,GetItem,1687758890.814085,653,0,1
1,GetItem,1687758890.814745,731,0,1
2,GetUserInfo,1687758890.815484,409,0,1
2,GetUserInfo,1687758890.815900,1195,0,1
3,NewBid,1687758890.817103,1287,0,1
6,NewFeedback,1687758890.818398,1184,0,1
1,GetItem,1687758890.819590,625,0,1
3,NewBid,1687758890.820222,1200,0,1
3,NewBid,1687758890.821430,1223,0,1
8,NewPurchase,1687758890.822661,8,0,1
1,GetItem,1687758890.822673,612,0,1
3,NewBid,1687758890.823292,1217,0,1
7,NewItem,1687758890.824517,2585,0,1
8,NewPurchase,1687758890.827133,8,0,1
7,NewItem,1687758890.827145,2097,0,1
2,GetUserInfo,1687758890.829262,1915,0,1
7,NewItem,1687758890.831185,2056,0,1
1,GetItem,1687758890.833249,655,0,1
1,GetItem,1687758890.833911,597,0,1
1,GetItem,1687758890.834515,628,0,1
6,NewFeedback,1687758890.835150,1216,0,1
1,GetItem,1687758890.836373,632,0,1
1,GetItem,1687758890.837012,633,0,1
8,NewPurchase,1687758890.837651,6,0,1
1,GetItem,1687758890.837661,613,0,1
7,NewItem,1687758890.838280,2139,0,1
8,NewPurchase,1687758890.840427,7,0,1
1,GetItem,1687758890.840438,598,0,1
1,GetItem,1687758890.841042,719,0,1
1,GetItem,1687758890.841767,601,0,1
2,GetUserInfo,1687758890.842373,422,0,1
1,GetItem,1687758890.842800,647,0,1
3,NewBid,1687758890.843454,1315,0,1
1,GetItem,1687758890.844779,650,0,1
1,GetItem,1687758890.845437,592,0,1
8,NewPurchase,1687758890.846035,6,0,1
8,NewPurchase,1687758890.846045,3,0,1
7,NewItem,1687758890.846052,1934,0,1
4,NewComment,1687758890.847994,1521,0,1
1,GetItem,1687758890.849522,632,0,1
4,NewComment,1687758890.850161,1483,0,1
6,NewFeedback,1687758890.851653,1053,0,1
2,GetUserInfo,1687758890.852713,445,0,1
2,GetUserInfo,1687758890.853165,400,0,1
1,GetItem,1687758890.853571,619,0,1
1,GetItem,1687758890.854196,612,0,1
1,GetItem,1687758890.854814,593,0,1
1,GetItem,1687758890.855413,645,0,1
3,NewBid,1687758890.856065,1263,0,1
3,NewBid,1687758890.857337,1156,0,1
1,GetItem,1687758890.858501,634,0,1
1,GetItem,1687758890.859142,594,0,1
3,NewBid,1687758890.859743,1187,0,1
1,GetItem,1687758890.860938,798,0,1
7,NewItem,1687758890.861749,2017,0,1
3,NewBid,1687758890.863774,1290,0,1
4,NewComment,1687758890.865073,1454,0,1
2,GetUserInfo,1687758890.866535,397,0,1
1,GetItem,1687758890.866939,621,0,1
1,GetItem,1687758890.867567,598,0,1
3,NewBid,1687758890.868171,1259,0,1
5,NewCommentResponse,1687758890.869438,882,0,1
1,GetItem,1687758890.870328,657,0,1
3,NewBid,1687758890.870992,31841,0,1
1,GetItem,1687758890.902852,693,0,1
2,GetUserInfo,1687758890.903554,942,0,1
7,NewItem,1687758890.904504,2209,0,1
3,NewBid,1687758890.906722,1274,0,1
7,NewItem,1687758890.908004,3216,0,1
8,NewPurchase,1687758890.911230,9,0,1
