Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,194.000,0.589,0.516,0.551,0.571,0.603,0.659,0.697,0.864,1.421,1.698
5,125.400,0.554,0.499,0.533,0.547,0.568,0.588,0.603,0.685,0.774,1.807
10,109.800,0.590,0.531,0.564,0.579,0.605,0.637,0.665,0.759,0.832,1.696
15,88.600,0.578,0.518,0.551,0.570,0.593,0.623,0.646,0.732,1.022,1.729
20,98.800,0.554,0.501,0.529,0.544,0.563,0.598,0.632,0.723,0.910,1.804
25,40.200,0.562,0.512,0.537,0.552,0.574,0.599,0.628,0.689,0.851,1.780
30,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
35,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
40,21.600,0.580,0.515,0.545,0.564,0.602,0.639,0.684,0.755,0.924,1.723
45,14.000,0.574,0.512,0.552,0.569,0.584,0.629,0.650,0.729,0.729,1.743
50,14.200,0.570,0.519,0.546,0.563,0.589,0.601,0.617,0.733,0.733,1.753
55,10.400,0.563,0.508,0.529,0.554,0.582,0.621,0.657,0.757,0.757,1.775
