Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,44.400,0.754,0.347,0.383,0.574,0.880,1.742,1.939,2.382,2.576,1.327
5,29.400,0.707,0.335,0.366,0.555,0.746,1.705,1.905,2.002,2.075,1.414
10,25.000,0.719,0.347,0.382,0.578,0.763,1.764,2.032,2.267,2.512,1.390
15,17.200,0.716,0.345,0.391,0.598,0.781,1.707,1.757,2.069,2.069,1.398
20,17.800,0.589,0.341,0.360,0.534,0.606,0.880,1.703,1.967,1.967,1.698
25,9.400,0.753,0.345,0.367,0.552,0.723,2.018,2.238,2.850,2.850,1.328
30,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
35,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
40,3.000,0.679,0.349,0.356,0.386,0.859,1.382,2.316,2.316,2.316,1.472
45,3.200,0.529,0.359,0.374,0.556,0.645,0.756,0.779,0.779,0.779,1.889
50,2.800,0.564,0.362,0.400,0.566,0.641,0.786,0.846,0.846,0.846,1.773
55,3.200,0.699,0.354,0.391,0.539,0.754,0.825,3.262,3.262,3.262,1.431
