Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,87.200,8.036,1.001,1.060,1.128,1.657,30.129,30.864,32.287,46.318,0.124
5,56.800,14.216,0.946,1.016,1.106,29.535,29.859,30.006,30.342,30.537,0.070
10,49.200,16.965,1.012,1.083,30.122,31.233,31.677,31.873,32.311,32.510,0.059
15,44.600,19.243,0.976,1.081,30.182,30.553,30.731,31.085,31.423,31.597,0.052
20,40.400,21.283,0.953,1.079,29.407,29.799,30.034,30.203,30.501,30.620,0.047
25,21.400,144.838,0.971,1.098,29.098,30.436,30.818,31.423,406.164,12883.518,0.007
30,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
35,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
40,7.000,125.108,1.007,16.302,17.397,405.226,406.438,406.741,406.833,406.833,0.008
45,7.400,123.761,1.010,16.321,17.558,404.104,406.198,406.270,406.806,406.806,0.008
50,5.600,181.461,0.992,16.732,17.694,405.904,406.180,406.345,407.358,407.358,0.006
55,3.600,192.296,1.000,1.059,171.840,406.189,406.805,408.653,408.653,408.653,0.005
