Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,7.200,1.141,0.959,1.004,1.043,1.156,1.483,1.521,1.995,1.995,0.877
5,5.000,1.016,0.933,0.967,0.996,1.036,1.091,1.171,1.315,1.315,0.985
10,5.200,1.081,0.989,1.055,1.081,1.112,1.148,1.152,1.163,1.163,0.925
15,4.400,1.039,0.974,1.005,1.019,1.048,1.088,1.243,1.244,1.244,0.962
20,5.200,1.003,0.922,0.967,0.998,1.032,1.065,1.103,1.117,1.117,0.997
25,2.000,1.080,0.977,1.027,1.077,1.110,1.241,1.241,1.241,1.241,0.926
30,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
35,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
40,0.800,1.066,1.019,1.033,1.087,1.124,1.124,1.124,1.124,1.124,0.938
45,0.200,1.048,1.048,1.048,1.048,1.048,1.048,1.048,1.048,1.048,0.954
50,0.800,1.067,0.993,1.055,1.097,1.122,1.122,1.122,1.122,1.122,0.937
55,0.200,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,1.026
