Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,5.200,0.648,0.029,0.602,0.663,0.722,0.833,0.854,0.882,0.882,1.542
5,2.600,0.620,0.556,0.571,0.586,0.635,0.735,0.766,0.766,0.766,1.613
10,3.400,0.614,0.588,0.601,0.617,0.619,0.639,0.646,0.646,0.646,1.629
15,1.800,0.638,0.598,0.604,0.619,0.628,0.787,0.787,0.787,0.787,1.568
20,1.400,0.620,0.563,0.575,0.612,0.654,0.709,0.709,0.709,0.709,1.613
25,0.800,0.606,0.564,0.588,0.623,0.650,0.650,0.650,0.650,0.650,1.649
30,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
35,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
40,1.000,0.629,0.586,0.603,0.618,0.641,0.697,0.697,0.697,0.697,1.590
45,0.200,0.623,0.623,0.623,0.623,0.623,0.623,0.623,0.623,0.623,1.605
50,0.200,0.591,0.591,0.591,0.591,0.591,0.591,0.591,0.591,0.591,1.692
55,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
