Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,13.400,0.895,0.789,0.826,0.849,0.910,1.053,1.194,1.530,1.530,1.117
5,13.400,0.825,0.751,0.791,0.812,0.851,0.889,0.909,0.991,0.991,1.212
10,9.800,0.900,0.823,0.859,0.885,0.924,1.003,1.022,1.045,1.045,1.111
15,8.400,0.885,0.807,0.841,0.871,0.912,0.947,1.001,1.148,1.148,1.130
20,8.200,0.851,0.789,0.810,0.839,0.880,0.921,0.961,1.038,1.038,1.175
25,2.800,0.912,0.801,0.830,0.907,0.929,1.111,1.147,1.147,1.147,1.097
30,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
35,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
40,1.200,0.869,0.822,0.834,0.859,0.861,1.001,1.001,1.001,1.001,1.151
45,1.800,0.821,0.788,0.796,0.815,0.846,0.863,0.863,0.863,0.863,1.218
50,1.600,0.849,0.777,0.812,0.828,0.864,1.049,1.049,1.049,1.049,1.178
55,1.400,0.830,0.789,0.790,0.824,0.858,0.897,0.897,0.897,0.897,1.205
