Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,40.800,2.992,1.576,2.157,2.647,3.438,4.467,5.114,6.363,13.141,0.334
5,28.600,2.679,1.660,2.076,2.426,3.093,4.013,4.519,4.817,5.794,0.373
10,23.400,2.730,1.502,2.043,2.477,3.103,3.904,4.518,5.515,6.515,0.366
15,20.800,2.776,1.434,2.062,2.489,3.300,4.534,4.839,5.519,5.866,0.360
20,25.000,2.522,1.335,1.785,2.250,2.854,4.013,4.244,4.977,5.246,0.396
25,10.800,2.499,1.383,1.929,2.394,3.080,3.554,3.919,4.059,4.059,0.400
30,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
35,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
40,2.800,3.085,1.546,2.678,3.100,3.679,3.894,4.474,4.474,4.474,0.324
45,5.000,2.531,1.464,1.877,2.218,2.790,4.032,5.014,5.549,5.549,0.395
50,3.800,2.681,1.495,1.902,2.630,3.290,4.384,4.500,4.500,4.500,0.373
55,3.200,2.381,1.510,2.050,2.293,2.871,3.125,3.162,3.162,3.162,0.420
