Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,20.400,0.004,0.001,0.002,0.003,0.003,0.008,0.010,0.030,0.033,232.877
5,13.800,0.002,0.001,0.002,0.002,0.002,0.003,0.003,0.005,0.005,469.388
10,15.800,0.002,0.000,0.002,0.002,0.003,0.003,0.004,0.005,0.005,443.820
15,12.400,0.002,0.000,0.001,0.001,0.002,0.002,0.003,0.018,0.018,579.439
20,9.600,0.002,0.000,0.001,0.001,0.001,0.002,0.002,0.018,0.018,648.649
25,4.600,0.001,0.000,0.001,0.001,0.001,0.001,0.002,0.002,0.002,958.333
30,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
35,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
40,3.200,0.001,0.000,0.001,0.001,0.002,0.002,0.002,0.002,0.002,800.000
45,1.600,0.002,0.001,0.001,0.002,0.002,0.002,0.002,0.002,0.002,666.667
50,2.600,0.001,0.001,0.001,0.001,0.001,0.002,0.002,0.002,0.002,812.500
55,2.200,0.001,0.000,0.001,0.001,0.002,0.002,0.002,0.002,0.002,846.154
