Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,15.600,0.512,0.392,0.414,0.465,0.604,0.682,0.701,0.910,0.910,1.954
5,10.000,0.455,0.372,0.393,0.420,0.521,0.596,0.616,0.669,0.669,2.197
10,8.400,0.497,0.396,0.421,0.450,0.600,0.632,0.664,0.738,0.738,2.013
15,5.400,0.465,0.393,0.405,0.421,0.475,0.625,0.656,0.680,0.680,2.151
20,5.400,0.417,0.371,0.389,0.394,0.422,0.518,0.527,0.539,0.539,2.399
25,3.600,0.444,0.375,0.393,0.401,0.455,0.567,0.750,0.750,0.750,2.251
30,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
35,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
40,0.600,0.507,0.405,0.405,0.431,0.684,0.684,0.684,0.684,0.684,1.974
45,1.200,0.400,0.380,0.391,0.398,0.403,0.432,0.432,0.432,0.432,2.502
50,1.200,0.433,0.386,0.392,0.449,0.467,0.487,0.487,0.487,0.487,2.310
55,1.000,0.520,0.370,0.418,0.451,0.636,0.725,0.725,0.725,0.725,1.923
