Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,428.200,2.341,0.001,0.555,0.613,1.091,2.574,5.748,30.864,46.318,0.427
5,285.000,3.497,0.001,0.536,0.574,1.044,4.173,29.534,30.006,30.537,0.286
10,250.000,4.008,0.000,0.565,0.610,1.101,29.998,31.231,31.873,32.510,0.249
15,203.600,4.888,0.000,0.555,0.609,1.244,30.277,30.574,31.146,31.597,0.205
20,211.800,4.738,0.000,0.532,0.571,1.676,29.370,29.767,30.203,30.620,0.211
25,95.600,33.086,0.000,0.540,0.585,1.956,29.613,30.456,57.250,12883.518,0.030
30,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
35,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
40,41.200,21.888,0.000,0.541,0.586,1.033,17.075,204.899,406.519,406.833,0.046
45,34.600,27.182,0.001,0.556,0.611,2.091,17.606,405.041,406.270,406.806,0.037
50,32.800,31.674,0.001,0.546,0.591,1.732,17.536,405.488,406.345,407.358,0.032
55,25.200,28.169,0.000,0.525,0.582,1.051,16.524,404.754,406.805,408.653,0.035
