Time (seconds),Requests,Throughput (requests/second),Minimum Latency (microseconds),25th Percentile Latency (microseconds),Median Latency (microseconds),Average Latency (microseconds),75th Percentile Latency (microseconds),90th Percentile Latency (microseconds),95th Percentile Latency (microseconds),99th Percentile Latency (microseconds),Maximum Latency (microseconds)
0,645,645.000,1,575,653,1578,1155,1981,2961,31841,46318
1,454,454.000,1,551,594,2149,1089,2723,4502,31107,32295
2,396,396.000,1,545,591,2528,1057,2958,29696,30494,30970
3,363,363.000,1,551,588,2806,1068,2702,29672,29882,29986
4,283,283.000,2,556,605,3521,1078,4467,29309,29815,30208
5,263,263.000,2,541,577,3722,1078,4684,29375,29712,30361
6,268,268.000,1,534,576,3727,1007,29050,29574,30174,30223
7,320,320.000,1,535,583,3122,1034,3183,29689,30066,30537
8,256,256.000,2,532,568,3970,1063,29292,29609,29865,30244
9,318,318.000,1,537,574,3110,1033,3487,29567,30026,30342
10,284,284.000,1,562,611,3588,1095,4177,30179,30554,30839
11,279,279.000,0,560,593,3528,1058,3184,31289,32289,32448
12,210,210.000,1,569,638,4791,1822,31214,31317,31539,31652
13,242,242.000,2,573,622,4104,1116,31102,31719,32008,32510
14,235,235.000,1,566,596,4285,1108,30853,31174,31361,31574
15,216,216.000,0,579,633,4528,1179,30607,30892,31423,31597
16,223,223.000,0,559,607,4480,1116,30459,30636,30941,31284
17,179,179.000,1,549,605,5688,1993,30402,30557,30718,30734
18,184,184.000,0,549,587,5483,1306,30308,30518,30762,30787
19,216,216.000,1,552,593,4498,1708,29377,29876,30463,30544
20,169,169.000,1,537,603,6008,2242,29500,29715,30162,30509
21,253,253.000,1,529,558,3889,1013,29216,29432,29791,29814
22,228,228.000,1,536,579,4497,1421,29116,29645,30232,30424
23,194,194.000,1,535,572,5027,1686,29800,29964,30096,30139
24,215,215.000,0,529,578,4730,1726,29522,29799,30471,30620
25,145,145.000,1,546,597,6821,2394,30528,30755,31365,31423
26,235,235.000,0,533,570,4217,1606,28620,29743,30436,30682
27,98,98.000,1,545,703,141171,2055,19656,57250,12883518,12883518
28,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
29,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
30,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
31,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
32,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
33,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
34,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
35,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
36,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
37,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
38,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
39,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
40,1,1.000,204899,204899,204899,204899,204899,204899,204899,204899,204899
41,63,63.000,2,539,578,18106,805,16395,17835,406167,406167
42,57,57.000,0,552,585,16361,859,16676,17551,405944,405944
43,31,31.000,0,562,652,29727,3239,17750,406519,406741,406741
44,54,54.000,1,528,583,24244,1081,16156,406277,406833,406833
45,47,47.000,2,556,585,16008,1026,16801,17661,404104,404104
46,32,32.000,1,556,623,28228,2790,17528,405041,405996,405996
47,35,35.000,1,563,654,36723,2409,17776,406198,406270,406270
48,25,25.000,1,539,585,35906,2930,17606,406247,406806,406806
49,34,34.000,1,543,793,25408,1928,5014,405136,406090,406090
50,20,20.000,383,585,1057,64194,17694,406135,406180,406180,406180
51,42,42.000,1,552,593,21634,1046,16754,17651,407358,407358
52,14,14.000,2,554,1097,60127,4500,405089,405872,405872,405872
53,58,58.000,1,545,573,22785,843,16625,405065,406167,406167
54,30,30.000,1,538,606,27955,1495,4028,404999,406345,406345
55,28,28.000,2,562,789,29565,1059,17533,370917,404754,404754
56,84,84.000,0,523,556,12885,975,2871,16801,406252,406252
57,7,7.000,410,606,3125,175411,406805,408653,408653,408653,408653
58,7,7.000,381,451,570,58749,2219,406430,406430,406430,406430
