Transaction Type Index,Transaction Name,Start Time (microseconds),Latency (microseconds),Worker Id (start number),Phase Id (index in config file)
3,NewBid,1687747340.867273,2930,0,1
1,GetItem,1687747340.870260,1659,0,1
1,GetItem,1687747340.871932,1162,0,1
7,NewItem,1687747340.873104,6953,0,1
1,GetItem,1687747340.880070,1029,0,1
3,NewBid,1687747340.881109,1928,0,1
1,GetItem,1687747340.883049,1094,0,1
1,GetItem,1687747340.884152,1074,0,1
3,NewBid,1687747340.885236,1818,0,1
1,GetItem,1687747340.887067,1478,0,1
7,NewItem,1687747340.888556,3032,0,1
7,NewItem,1687747340.891599,3358,0,1
1,GetItem,1687747340.894970,1023,0,1
1,GetItem,1687747340.896003,957,0,1
8,NewPurchase,1687747340.896970,32,0,1
3,NewBid,1687747340.897008,1866,0,1
2,GetUserInfo,1687747340.898884,1944,0,1
8,NewPurchase,1687747340.900841,12,0,1
1,GetItem,1687747340.900858,1009,0,1
1,GetItem,1687747340.901876,941,0,1
3,NewBid,1687747340.902827,2258,0,1
3,NewBid,1687747340.905097,2098,0,1
3,NewBid,1687747340.907207,1740,0,1
8,NewPurchase,1687747340.908958,11,0,1
2,GetUserInfo,1687747340.908974,732,0,1
1,GetItem,1687747340.909715,1145,0,1
3,NewBid,1687747340.910869,1760,0,1
1,GetItem,1687747340.912640,946,0,1
3,NewBid,1687747340.913595,1647,0,1
3,NewBid,1687747340.915254,1580,0,1
3,NewBid,1687747340.916845,1424,0,1
1,GetItem,1687747340.918280,969,0,1
1,GetItem,1687747340.919259,747,0,1
1,GetItem,1687747340.920015,778,0,1
6,NewFeedback,1687747340.920802,1727,0,1
1,GetItem,1687747340.922539,826,0,1
1,GetItem,1687747340.923374,721,0,1
6,NewFeedback,1687747340.924105,1318,0,1
1,GetItem,1687747340.925455,762,0,1
4,NewComment,1687747340.926225,2244,0,1
7,NewItem,1687747340.928481,3068,0,1
7,NewItem,1687747340.931561,4487,0,1
3,NewBid,1687747340.936060,1708,0,1
2,GetUserInfo,1687747340.937806,1336,0,1
4,NewComment,1687747340.939152,1654,0,1
1,GetItem,1687747340.940816,811,0,1
1,GetItem,1687747340.941634,807,0,1
2,GetUserInfo,1687747340.942450,5645,0,1
1,GetItem,1687747340.948107,831,0,1
3,NewBid,1687747340.948947,1478,0,1
1,GetItem,1687747340.950436,746,0,1
1,GetItem,1687747340.951191,731,0,1
7,NewItem,1687747340.951929,2561,0,1
2,GetUserInfo,1687747340.954500,692,0,1
2,GetUserInfo,1687747340.955221,1010,0,1
1,GetItem,1687747340.956247,774,0,1
1,GetItem,1687747340.957030,759,0,1
2,GetUserInfo,1687747340.957797,2332,0,1
3,NewBid,1687747340.960139,1550,0,1
3,NewBid,1687747340.961699,1464,0,1
1,GetItem,1687747340.963172,764,0,1
3,NewBid,1687747340.963945,1383,0,1
6,NewFeedback,1687747340.965337,1290,0,1
1,GetItem,1687747340.966657,757,0,1
1,GetItem,1687747340.967423,766,0,1
1,GetItem,1687747340.968197,776,0,1
6,NewFeedback,1687747340.968981,1341,0,1
1,GetItem,1687747340.970330,787,0,1
1,GetItem,1687747340.971125,776,0,1
3,NewBid,1687747340.971910,1447,0,1
3,NewBid,1687747340.973367,1408,0,1
7,NewItem,1687747340.974784,5166,0,1
1,GetItem,1687747340.979961,843,0,1
1,GetItem,1687747340.980814,770,0,1
1,GetItem,1687747340.981592,784,0,1
1,GetItem,1687747340.982385,732,0,1
3,NewBid,1687747340.983124,1467,0,1
9,UpdateItem,1687747340.984601,983,0,1
1,GetItem,1687747340.985594,776,0,1
1,GetItem,1687747340.986377,828,0,1
3,NewBid,1687747340.987213,1415,0,1
2,GetUserInfo,1687747340.988638,602,0,1
1,GetItem,1687747340.989248,773,0,1
8,NewPurchase,1687747340.990028,8,0,1
3,NewBid,1687747340.990041,1474,0,1
3,NewBid,1687747340.991524,1390,0,1
4,NewComment,1687747340.992923,1572,0,1
1,GetItem,1687747340.994504,811,0,1
1,GetItem,1687747340.995323,797,0,1
9,UpdateItem,1687747340.996129,934,0,1
1,GetItem,1687747340.997071,716,0,1
7,NewItem,1687747340.997795,4109,0,1
1,GetItem,1687747341.001916,772,0,1
3,NewBid,1687747341.002718,1462,0,1
1,GetItem,1687747341.004190,752,0,1
1,GetItem,1687747341.004950,708,0,1
2,GetUserInfo,1687747341.005665,1214,0,1
