Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,102.600,0.704,0.619,0.658,0.682,0.724,0.774,0.828,1.074,1.659,1.420
5,28.400,0.693,0.620,0.656,0.678,0.717,0.761,0.798,0.867,1.001,1.443
10,21.200,0.689,0.621,0.651,0.679,0.710,0.759,0.783,0.825,0.848,1.452
15,29.800,0.677,0.610,0.650,0.670,0.693,0.727,0.747,0.805,0.867,1.477
20,26.800,0.685,0.613,0.651,0.677,0.700,0.737,0.819,0.881,0.922,1.461
25,18.400,0.684,0.614,0.651,0.672,0.694,0.756,0.807,1.125,1.125,1.462
30,15.800,0.678,0.622,0.649,0.669,0.706,0.727,0.754,0.814,0.814,1.474
35,14.400,0.667,0.610,0.641,0.658,0.682,0.727,0.746,0.829,0.829,1.499
40,18.600,0.675,0.612,0.644,0.669,0.696,0.732,0.751,0.783,0.783,1.482
45,23.400,0.672,0.609,0.645,0.660,0.680,0.713,0.743,0.793,1.346,1.489
50,25.600,0.670,0.602,0.650,0.665,0.683,0.717,0.729,0.767,0.769,1.493
55,10.600,0.684,0.635,0.658,0.682,0.696,0.714,0.749,0.764,0.764,1.462
