Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,23.000,1.015,0.419,0.468,0.703,1.123,1.928,2.332,5.645,9.826,0.986
5,5.800,0.922,0.427,0.486,0.725,0.915,2.251,2.443,2.870,2.870,1.085
10,4.000,0.677,0.422,0.449,0.482,0.722,1.546,2.160,2.160,2.160,1.477
15,6.200,0.810,0.429,0.444,0.666,0.944,1.907,2.015,2.370,2.370,1.235
20,7.800,0.732,0.417,0.440,0.660,0.849,1.325,1.879,2.379,2.379,1.365
25,4.800,0.789,0.438,0.497,0.697,0.883,1.582,1.881,2.125,2.125,1.267
30,2.200,0.885,0.458,0.465,0.712,0.866,1.921,2.060,2.060,2.060,1.131
35,3.400,0.853,0.428,0.438,0.653,0.714,2.029,2.282,2.282,2.282,1.172
40,6.200,0.938,0.422,0.444,0.531,1.422,2.163,2.453,2.649,2.649,1.066
45,4.600,0.691,0.409,0.437,0.464,0.703,0.994,1.941,2.203,2.203,1.448
50,5.600,0.768,0.418,0.460,0.685,0.830,1.235,2.008,2.343,2.343,1.301
55,1.800,0.905,0.440,0.456,0.703,0.737,3.179,3.179,3.179,3.179,1.105
