Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,46.600,17.548,1.164,1.244,1.302,1.416,12.514,52.468,406.987,409.087,0.057
5,12.200,78.176,1.149,1.237,1.301,1.619,405.887,406.328,410.511,410.511,0.013
10,10.200,92.367,1.160,1.206,1.279,18.594,406.278,406.637,411.721,411.721,0.011
15,13.400,71.827,1.145,1.206,1.258,18.115,405.655,406.399,407.013,407.013,0.014
20,13.200,76.329,1.133,1.191,1.231,17.251,405.609,406.368,406.872,406.872,0.013
25,7.600,118.730,1.165,1.213,1.310,364.880,406.260,406.444,407.535,407.535,0.008
30,9.400,104.269,1.153,1.211,1.376,205.370,406.250,406.449,408.098,408.098,0.010
35,7.600,126.834,1.123,1.212,17.046,405.358,406.370,406.692,407.317,407.317,0.008
40,9.000,107.024,1.138,1.201,1.271,206.341,406.076,406.389,407.294,407.294,0.009
45,8.200,116.779,1.139,1.209,1.330,205.203,405.889,405.998,406.043,406.043,0.009
50,10.400,97.503,1.140,1.198,1.263,18.442,406.001,406.779,407.298,407.298,0.010
55,4.200,120.915,1.178,1.248,17.250,405.887,406.212,406.392,407.273,407.273,0.008
