Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,3.200,1.406,1.121,1.238,1.303,1.572,1.654,2.244,2.244,2.244,0.711
5,1.200,1.258,1.178,1.218,1.253,1.295,1.366,1.366,1.366,1.366,0.795
10,0.600,1.252,1.199,1.199,1.237,1.320,1.320,1.320,1.320,1.320,0.799
15,1.600,1.173,1.115,1.134,1.198,1.208,1.225,1.225,1.225,1.225,0.852
20,0.800,1.216,1.172,1.226,1.231,1.236,1.236,1.236,1.236,1.236,0.822
25,0.600,1.198,1.154,1.154,1.181,1.259,1.259,1.259,1.259,1.259,0.835
30,1.000,1.177,1.138,1.146,1.173,1.177,1.251,1.251,1.251,1.251,0.850
35,0.800,1.201,1.120,1.184,1.217,1.281,1.281,1.281,1.281,1.281,0.833
40,0.600,1.206,1.150,1.150,1.187,1.280,1.280,1.280,1.280,1.280,0.829
45,1.800,1.180,1.132,1.139,1.166,1.196,1.260,1.260,1.260,1.260,0.847
50,1.400,1.172,1.124,1.130,1.162,1.195,1.277,1.277,1.277,1.277,0.853
55,0.400,1.201,1.141,1.141,1.260,1.260,1.260,1.260,1.260,1.260,0.833
