Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,3.000,0.697,0.003,0.682,0.757,0.848,0.990,1.037,1.037,1.037,1.434
5,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
10,0.400,0.708,0.693,0.693,0.722,0.722,0.722,0.722,0.722,0.722,1.413
15,0.200,0.748,0.748,0.748,0.748,0.748,0.748,0.748,0.748,0.748,1.337
20,0.400,0.713,0.695,0.695,0.731,0.731,0.731,0.731,0.731,0.731,1.403
25,0.200,0.671,0.671,0.671,0.671,0.671,0.671,0.671,0.671,0.671,1.490
30,0.600,0.690,0.673,0.673,0.694,0.702,0.702,0.702,0.702,0.702,1.450
35,0.200,0.655,0.655,0.655,0.655,0.655,0.655,0.655,0.655,0.655,1.527
40,0.400,0.723,0.672,0.672,0.773,0.773,0.773,0.773,0.773,0.773,1.384
45,0.200,0.700,0.700,0.700,0.700,0.700,0.700,0.700,0.700,0.700,1.429
50,0.600,0.685,0.678,0.678,0.688,0.690,0.690,0.690,0.690,0.690,1.459
55,0.200,0.709,0.709,0.709,0.709,0.709,0.709,0.709,0.709,0.709,1.410
