Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,9.600,1.056,0.924,0.966,1.000,1.095,1.290,1.336,1.727,1.727,0.947
5,2.400,1.006,0.935,0.958,0.985,1.056,1.122,1.155,1.155,1.155,0.994
10,1.800,0.994,0.950,0.962,0.985,1.021,1.069,1.069,1.069,1.069,1.006
15,3.200,0.974,0.915,0.938,0.963,1.004,1.058,1.061,1.061,1.061,1.027
20,3.400,0.986,0.910,0.952,0.963,1.028,1.074,1.107,1.107,1.107,1.015
25,1.800,0.968,0.911,0.941,0.954,1.011,1.027,1.027,1.027,1.027,1.033
30,1.200,0.980,0.944,0.946,0.998,1.016,1.027,1.027,1.027,1.027,1.020
35,1.400,0.958,0.929,0.933,0.956,0.982,0.992,0.992,0.992,0.992,1.044
40,2.600,0.996,0.905,0.951,0.994,1.047,1.076,1.086,1.086,1.086,1.004
45,2.800,0.970,0.895,0.958,0.978,0.986,1.001,1.048,1.048,1.048,1.031
50,2.400,0.984,0.902,0.948,0.983,1.009,1.047,1.127,1.127,1.127,1.016
55,1.000,0.982,0.969,0.976,0.977,0.980,1.008,1.008,1.008,1.008,1.018
