Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,23.200,3.450,1.701,2.542,3.047,4.157,5.166,6.165,6.953,7.028,0.290
5,7.000,3.722,1.832,2.678,3.564,4.849,5.381,6.577,6.692,6.692,0.269
10,3.200,3.364,2.085,2.724,3.262,3.715,5.086,5.479,5.479,5.479,0.297
15,6.000,3.344,1.722,2.405,3.153,3.937,6.131,6.447,6.713,6.713,0.299
20,6.800,3.360,1.991,2.577,3.264,4.197,4.634,5.579,5.803,5.803,0.298
25,3.800,3.147,2.183,2.530,2.926,3.853,4.735,4.829,4.829,4.829,0.318
30,2.600,3.580,1.912,2.603,3.171,3.899,5.983,6.612,6.612,6.612,0.279
35,3.800,2.938,1.984,2.300,2.494,3.201,5.651,5.776,5.776,5.776,0.340
40,3.600,3.216,2.055,2.396,3.063,3.425,5.063,6.227,6.227,6.227,0.311
45,4.600,3.281,1.900,2.483,3.061,3.732,5.080,5.656,6.375,6.375,0.305
50,5.800,3.275,1.979,2.300,3.305,3.954,4.935,5.137,5.151,5.151,0.305
55,1.400,3.377,2.162,2.266,3.053,4.072,5.797,5.797,5.797,5.797,0.296
