Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,10.000,0.005,0.001,0.002,0.003,0.007,0.012,0.015,0.032,0.032,188.679
5,2.400,0.003,0.001,0.002,0.003,0.003,0.003,0.006,0.006,0.006,387.097
10,2.800,0.003,0.001,0.002,0.003,0.003,0.004,0.004,0.004,0.004,368.421
15,2.800,0.003,0.001,0.002,0.003,0.003,0.004,0.006,0.006,0.006,350.000
20,3.000,0.003,0.002,0.003,0.003,0.003,0.004,0.004,0.004,0.004,333.333
25,2.200,0.003,0.001,0.002,0.003,0.004,0.004,0.006,0.006,0.006,343.750
30,1.200,0.003,0.001,0.002,0.004,0.004,0.005,0.005,0.005,0.005,315.789
35,1.800,0.003,0.001,0.002,0.003,0.004,0.006,0.006,0.006,0.006,333.333
40,2.800,0.004,0.001,0.002,0.003,0.003,0.004,0.030,0.030,0.030,225.806
45,2.800,0.003,0.000,0.002,0.003,0.003,0.004,0.004,0.004,0.004,400.000
50,3.800,0.003,0.001,0.002,0.003,0.003,0.004,0.005,0.005,0.005,345.455
55,1.000,0.003,0.001,0.001,0.002,0.004,0.005,0.005,0.005,0.005,384.615
