Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,8.200,0.580,0.447,0.478,0.506,0.632,0.803,0.915,0.983,0.983,1.724
5,1.400,0.581,0.488,0.518,0.535,0.609,0.786,0.786,0.786,0.786,1.721
10,2.000,0.587,0.453,0.471,0.575,0.695,0.768,0.768,0.768,0.768,1.703
15,2.400,0.561,0.448,0.464,0.496,0.710,0.723,0.735,0.735,0.735,1.783
20,1.600,0.493,0.448,0.462,0.478,0.492,0.655,0.655,0.655,0.655,2.028
25,1.400,0.538,0.459,0.474,0.487,0.670,0.697,0.697,0.697,0.697,1.858
30,0.800,0.513,0.469,0.490,0.506,0.587,0.587,0.587,0.587,0.587,1.949
35,1.400,0.562,0.453,0.462,0.499,0.683,0.835,0.835,0.835,0.835,1.780
40,1.000,0.511,0.458,0.459,0.465,0.483,0.689,0.689,0.689,0.689,1.958
45,2.000,0.594,0.449,0.489,0.690,0.703,0.731,0.731,0.731,0.731,1.683
50,1.800,0.545,0.464,0.482,0.522,0.530,0.705,0.705,0.705,0.705,1.834
55,0.400,0.484,0.462,0.462,0.505,0.505,0.505,0.505,0.505,0.505,2.068
