Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,229.400,4.424,0.001,0.662,0.741,1.285,2.561,4.075,52.468,409.087,0.226
5,60.800,16.605,0.001,0.664,0.734,1.292,3.736,6.577,406.328,410.511,0.060
10,46.200,21.087,0.001,0.649,0.709,1.209,3.347,203.976,406.637,411.721,0.047
15,65.600,15.461,0.001,0.655,0.703,1.214,2.878,18.115,406.399,407.013,0.065
20,63.800,16.612,0.002,0.655,0.707,1.215,3.419,18.341,406.368,406.872,0.060
25,40.800,22.893,0.001,0.655,0.697,1.221,3.853,205.406,406.364,407.535,0.044
30,34.800,28.887,0.001,0.658,0.723,1.255,18.121,405.683,407.440,408.098,0.035
35,34.800,28.472,0.001,0.643,0.694,1.251,17.134,405.385,406.692,407.317,0.035
40,44.800,22.261,0.001,0.644,0.701,1.222,3.425,206.341,406.389,407.294,0.045
45,50.400,19.797,0.000,0.646,0.684,1.193,3.533,202.141,405.998,406.043,0.051
50,57.400,18.465,0.001,0.651,0.689,1.198,3.954,18.257,406.779,407.298,0.054
55,21.000,24.917,0.001,0.667,0.703,1.231,17.250,405.887,406.392,407.273,0.040
