Time (seconds),Requests,Throughput (requests/second),Minimum Latency (microseconds),25th Percentile Latency (microseconds),Median Latency (microseconds),Average Latency (microseconds),75th Percentile Latency (microseconds),90th Percentile Latency (microseconds),95th Percentile Latency (microseconds),99th Percentile Latency (microseconds),Maximum Latency (microseconds)
0,535,535.000,3,685,798,1872,1350,2561,4487,32724,54734
1,344,344.000,2,654,698,3338,1248,2593,3837,52468,405843
2,138,138.000,2,652,701,6908,1234,2055,3274,406318,406987
3,72,72.000,1,649,696,12374,1219,2882,5348,408044,408044
4,58,58.000,2,655,691,18620,1215,2979,205662,409087,409087
5,51,51.000,463,673,786,25505,1358,5139,402363,406515,406515
6,135,135.000,1,652,694,7083,1207,2532,4478,405859,410511
7,19,19.000,3,488,1009,43872,2443,406119,406328,406328,406328
8,52,52.000,3,668,743,20686,1285,3318,205100,406848,406848
9,47,47.000,486,682,958,18755,1823,4850,6577,405887,405887
10,44,44.000,4,679,746,20131,1246,2660,18325,406278,406278
11,67,67.000,1,648,695,19127,1192,3128,3715,406637,406637
12,24,24.000,3,679,1027,35787,1849,18197,406311,411721,411721
13,50,50.000,1,646,730,19802,1264,18517,203976,405069,405069
14,46,46.000,1,630,674,18581,950,2724,5068,409965,409965
15,33,33.000,4,656,766,37736,1243,3830,405518,405655,405655
16,102,102.000,3,656,697,9112,1176,2375,3153,206183,405452
17,81,81.000,2,645,683,11447,1207,2628,3949,407013,407013
18,58,58.000,1,673,735,18643,1220,4354,206065,406399,406399
19,54,54.000,1,668,717,16442,1282,3520,18320,406958,406958
20,54,54.000,2,693,1038,17350,1333,16912,18420,406368,406368
21,141,141.000,2,647,688,9729,1176,2577,3281,405594,406465
22,19,19.000,2,685,747,43513,1213,405609,406759,406759,406759
23,47,47.000,3,657,725,18883,1280,4634,18956,406872,406872
24,58,58.000,3,663,707,22003,1226,3138,405038,406327,406327
25,58,58.000,2,655,702,15476,1203,2696,18296,405644,405644
26,34,34.000,487,665,756,25028,1230,3883,405077,406444,406444
27,38,38.000,1,641,691,33342,1125,18139,406364,407535,407535
28,35,35.000,1,643,692,23377,1221,3853,364880,406260,406260
29,39,39.000,438,649,697,21445,1259,4829,205406,406249,406249
30,40,40.000,4,660,710,32444,1230,18233,405294,406401,406401
31,47,47.000,465,655,712,19381,1199,17248,18306,408098,408098
32,21,21.000,1,664,722,40356,1277,18187,406010,406449,406449
33,48,48.000,2,678,814,23454,3129,18054,205370,406250,406250
34,18,18.000,587,667,765,46912,1214,406144,406153,406153,406153
35,39,39.000,2,645,694,32431,1242,18115,405939,406692,406692
36,62,62.000,2,634,670,14548,1123,2873,18026,407317,407317
37,30,30.000,1,656,731,28186,2301,3374,405886,406358,406358
38,26,26.000,438,659,956,42628,17046,204942,405385,406326,406326
39,17,17.000,428,657,992,49025,2300,406370,406509,406509,406509
40,72,72.000,1,626,682,17765,1086,2502,5063,406389,406389
41,24,24.000,3,683,1076,44191,3233,206341,406799,407294,407294
42,56,56.000,2,641,683,16054,1237,2943,18680,406152,406152
43,24,24.000,3,687,735,36155,2396,18318,405492,405887,405887
44,48,48.000,1,660,709,18331,1272,4750,18143,406076,406076
45,43,43.000,3,648,680,29194,1193,2555,405845,406011,406011
46,40,40.000,0,635,680,22058,1209,18141,405976,406043,406043
47,58,58.000,2,656,715,19375,1277,17296,205203,405889,405889
48,54,54.000,2,641,691,19781,1048,3544,205125,405998,405998
49,57,57.000,2,636,666,11563,1001,3061,6375,404963,404963
50,33,33.000,3,657,902,39035,2891,18257,405969,406802,406802
51,63,63.000,2,650,690,15423,1277,17400,18187,406779,406779
52,35,35.000,3,643,681,23949,1158,1257,404297,405241,405241
53,90,90.000,1,649,678,10130,1146,2300,3891,407298,407298
54,66,66.000,2,652,693,19538,1255,3588,5137,406545,406545
55,35,35.000,1,672,706,24318,1251,4072,406168,406392,406392
56,34,34.000,456,658,691,25253,1178,3179,406212,407273,407273
57,36,36.000,1,681,709,25180,1275,17514,405887,406205,406205
