Transaction Type Index,Transaction Name,Start Time (microseconds),Latency (microseconds),Worker Id (start number),Phase Id (index in config file)
6,NewFeedback,1687745091.258663,2453,0,1
3,NewBid,1687745091.261171,2728,0,1
2,GetUserInfo,1687745091.263913,1589,0,1
1,GetItem,1687745091.265515,1056,0,1
9,UpdateItem,1687745091.266581,1170,0,1
1,GetItem,1687745091.267760,992,0,1
1,GetItem,1687745091.268761,1027,0,1
3,NewBid,1687745091.269797,1882,0,1
1,GetItem,1687745091.271689,1096,0,1
9,UpdateItem,1687745091.272796,537,0,1
2,GetUserInfo,1687745091.273341,2130,0,1
1,GetItem,1687745091.275482,1428,0,1
6,NewFeedback,1687745091.276923,1260,0,1
1,GetItem,1687745091.278192,856,0,1
1,GetItem,1687745091.279057,820,0,1
3,NewBid,1687745091.279885,1699,0,1
3,NewBid,1687745091.281594,1595,0,1
1,GetItem,1687745091.283199,790,0,1
7,NewItem,1687745091.283997,7632,0,1
3,NewBid,1687745091.291642,2173,0,1
2,GetUserInfo,1687745091.293826,719,0,1
1,GetItem,1687745091.294555,856,0,1
1,GetItem,1687745091.295420,738,0,1
1,GetItem,1687745091.296166,721,0,1
3,NewBid,1687745091.296896,1667,0,1
1,GetItem,1687745091.298574,745,0,1
7,NewItem,1687745091.299327,5736,0,1
3,NewBid,1687745091.305074,1445,0,1
3,NewBid,1687745091.306530,1452,0,1
7,NewItem,1687745091.307992,5950,0,1
1,GetItem,1687745091.313953,728,0,1
8,NewPurchase,1687745091.314693,55,0,1
1,GetItem,1687745091.314753,660,0,1
1,GetItem,1687745091.315420,624,0,1
1,GetItem,1687745091.316051,777,0,1
3,NewBid,1687745091.316836,1393,0,1
7,NewItem,1687745091.318238,4292,0,1
7,NewItem,1687745091.322541,3795,0,1
8,NewPurchase,1687745091.326346,10,0,1
3,NewBid,1687745091.326361,1435,0,1
1,GetItem,1687745091.327806,704,0,1
7,NewItem,1687745091.328519,4314,0,1
3,NewBid,1687745091.332869,1271,0,1
9,UpdateItem,1687745091.334178,541,0,1
2,GetUserInfo,1687745091.334727,935,0,1
3,NewBid,1687745091.335671,1332,0,1
1,GetItem,1687745091.337012,750,0,1
3,NewBid,1687745091.337770,1259,0,1
9,UpdateItem,1687745091.339039,548,0,1
1,GetItem,1687745091.339594,687,0,1
1,GetItem,1687745091.340290,614,0,1
1,GetItem,1687745091.340910,687,0,1
1,GetItem,1687745091.341605,653,0,1
1,GetItem,1687745091.342265,679,0,1
1,GetItem,1687745091.342977,648,0,1
3,NewBid,1687745091.343639,1339,0,1
1,GetItem,1687745091.344987,801,0,1
3,NewBid,1687745091.345795,21601,0,1
1,GetItem,1687745091.367410,699,0,1
1,GetItem,1687745091.368119,675,0,1
1,GetItem,1687745091.368802,638,0,1
1,GetItem,1687745091.369447,646,0,1
1,GetItem,1687745091.370100,700,0,1
1,GetItem,1687745091.370843,614,0,1
2,GetUserInfo,1687745091.371472,1074,0,1
7,NewItem,1687745091.372556,2615,0,1
1,GetItem,1687745091.375180,674,0,1
2,GetUserInfo,1687745091.375861,808,0,1
3,NewBid,1687745091.376676,1248,0,1
8,NewPurchase,1687745091.377932,8,0,1
1,GetItem,1687745091.377945,647,0,1
2,GetUserInfo,1687745091.378598,504,0,1
1,GetItem,1687745091.379109,623,0,1
3,NewBid,1687745091.379738,1229,0,1
1,GetItem,1687745091.380975,734,0,1
4,NewComment,1687745091.381717,1967,0,1
3,NewBid,1687745091.383694,1236,0,1
1,GetItem,1687745091.384938,908,0,1
1,GetItem,1687745091.385855,715,0,1
1,GetItem,1687745091.386578,710,0,1
8,NewPurchase,1687745091.387296,8,0,1
1,GetItem,1687745091.387308,664,0,1
3,NewBid,1687745091.387978,1285,0,1
1,GetItem,1687745091.389272,762,0,1
1,GetItem,1687745091.390042,638,0,1
3,NewBid,1687745091.390687,1285,0,1
8,NewPurchase,1687745091.391981,8,0,1
3,NewBid,1687745091.391994,1254,0,1
3,NewBid,1687745091.393256,1192,0,1
5,NewCommentResponse,1687745091.394457,967,0,1
