Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,289.600,0.597,0.526,0.561,0.582,0.611,0.660,0.699,0.828,1.553,1.674
5,172.000,0.592,0.520,0.558,0.577,0.605,0.644,0.691,0.849,1.259,1.688
10,138.800,0.597,0.532,0.564,0.584,0.612,0.654,0.687,0.829,1.138,1.674
15,144.800,0.584,0.527,0.555,0.572,0.598,0.638,0.677,0.785,0.882,1.711
20,126.000,0.585,0.517,0.554,0.573,0.602,0.644,0.675,0.763,0.904,1.709
25,107.400,0.591,0.521,0.559,0.580,0.607,0.650,0.685,0.771,0.959,1.692
30,102.600,0.583,0.528,0.557,0.574,0.595,0.630,0.651,0.706,1.238,1.716
35,116.200,0.601,0.526,0.555,0.573,0.603,0.658,0.701,1.298,1.718,1.664
40,120.600,0.607,0.528,0.561,0.585,0.617,0.667,0.723,1.112,1.500,1.647
45,115.600,0.586,0.523,0.554,0.575,0.601,0.638,0.672,0.817,1.110,1.706
50,106.600,0.580,0.522,0.555,0.571,0.590,0.624,0.652,0.746,0.888,1.725
55,108.400,0.597,0.531,0.570,0.591,0.617,0.644,0.664,0.732,0.764,1.675
