Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,59.000,0.792,0.360,0.396,0.583,0.841,1.838,2.148,2.848,7.255,1.262
5,38.200,0.741,0.347,0.384,0.561,0.658,1.938,2.137,2.920,2.941,1.350
10,32.400,0.728,0.358,0.393,0.594,0.711,1.508,1.936,2.438,2.801,1.373
15,33.400,0.823,0.353,0.383,0.561,0.998,1.971,2.103,2.886,3.027,1.214
20,28.200,0.779,0.352,0.384,0.561,0.756,1.897,2.112,2.746,2.778,1.284
25,24.800,0.770,0.356,0.390,0.554,0.772,1.911,2.138,3.292,3.674,1.298
30,25.600,0.845,0.356,0.391,0.566,1.013,2.012,2.165,2.345,2.431,1.183
35,26.600,0.818,0.352,0.388,0.577,1.084,1.705,1.978,2.458,2.460,1.223
40,25.400,0.702,0.358,0.386,0.566,0.686,1.593,1.979,2.389,2.656,1.424
45,26.800,0.746,0.355,0.381,0.555,0.749,1.912,2.066,2.205,2.335,1.341
50,24.000,0.881,0.358,0.383,0.582,0.925,2.021,2.397,3.441,9.296,1.135
55,24.800,0.738,0.352,0.394,0.590,0.768,1.996,2.208,2.366,2.578,1.354
