Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,111.400,5.148,0.989,1.066,1.130,1.667,17.770,18.116,18.782,21.601,0.194
5,76.600,9.557,0.966,1.056,17.175,17.501,17.777,17.898,18.234,18.904,0.105
10,63.600,12.186,0.984,1.086,17.973,18.371,18.815,19.038,19.506,21.749,0.082
15,60.000,13.078,0.984,1.170,17.350,17.491,17.652,17.735,18.021,18.702,0.076
20,57.000,14.103,0.967,17.160,17.352,17.497,17.666,17.777,18.068,18.502,0.071
25,52.600,15.492,0.975,17.338,17.547,17.810,18.335,18.518,18.781,19.146,0.065
30,52.400,15.894,0.994,17.293,17.458,17.610,17.807,18.008,18.379,20.532,0.063
35,50.800,16.205,0.989,17.408,17.616,17.857,18.095,18.210,18.828,20.759,0.062
40,49.600,16.501,1.007,17.538,17.714,18.006,18.475,18.615,18.931,19.161,0.061
45,49.400,16.428,1.014,17.391,17.595,17.790,18.141,19.674,19.995,20.149,0.061
50,50.200,16.768,0.992,17.405,17.547,17.721,18.059,18.261,18.543,18.740,0.060
55,48.000,17.028,1.041,17.554,17.747,18.020,18.498,18.586,18.902,18.962,0.059
