Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,10.600,1.105,0.967,0.996,1.043,1.117,1.413,1.491,1.967,1.967,0.905
5,8.400,1.057,0.966,1.000,1.019,1.078,1.150,1.179,1.582,1.582,0.946
10,6.600,1.069,0.977,1.024,1.054,1.099,1.141,1.214,1.282,1.282,0.936
15,6.400,1.055,0.972,1.003,1.034,1.085,1.118,1.179,1.500,1.500,0.948
20,6.000,1.044,0.954,0.988,1.030,1.083,1.126,1.205,1.258,1.258,0.958
25,5.400,1.047,0.922,0.996,1.023,1.057,1.140,1.145,1.520,1.520,0.955
30,4.800,1.056,1.003,1.018,1.042,1.091,1.115,1.145,1.158,1.158,0.947
35,3.600,1.060,0.989,1.015,1.041,1.100,1.182,1.207,1.207,1.207,0.943
40,5.000,1.069,0.964,1.019,1.044,1.120,1.189,1.205,1.214,1.214,0.935
45,3.800,1.047,0.962,1.011,1.032,1.089,1.139,1.152,1.152,1.152,0.955
50,5.400,1.047,0.941,0.995,1.013,1.083,1.180,1.206,1.327,1.327,0.955
55,5.200,1.083,0.984,1.027,1.071,1.125,1.149,1.175,1.429,1.429,0.924
