Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,5.200,0.678,0.563,0.597,0.640,0.692,0.880,0.967,1.101,1.101,1.476
5,3.200,0.634,0.571,0.591,0.615,0.681,0.716,0.829,0.829,0.829,1.576
10,3.200,0.631,0.567,0.595,0.625,0.668,0.697,0.758,0.758,0.758,1.586
15,2.400,0.598,0.574,0.585,0.591,0.605,0.624,0.661,0.661,0.661,1.672
20,4.000,0.611,0.569,0.586,0.595,0.624,0.666,0.756,0.756,0.756,1.637
25,4.000,0.615,0.550,0.587,0.598,0.632,0.712,0.714,0.714,0.714,1.627
30,2.600,0.621,0.575,0.584,0.598,0.620,0.737,0.743,0.743,0.743,1.610
35,2.000,0.628,0.578,0.582,0.645,0.675,0.691,0.691,0.691,0.691,1.592
40,2.600,0.634,0.573,0.604,0.613,0.649,0.671,0.804,0.804,0.804,1.577
45,1.600,0.628,0.590,0.602,0.609,0.691,0.726,0.726,0.726,0.726,1.591
50,3.400,0.613,0.574,0.598,0.602,0.629,0.659,0.696,0.696,0.696,1.631
55,3.200,0.672,0.589,0.617,0.640,0.655,0.864,0.900,0.900,0.900,1.487
