Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,25.800,0.885,0.768,0.822,0.849,0.877,0.981,1.114,1.313,2.453,1.130
5,15.200,0.855,0.781,0.818,0.841,0.870,0.936,0.998,1.026,1.026,1.169
10,13.200,0.887,0.781,0.829,0.861,0.912,0.981,1.085,1.506,1.506,1.128
15,11.400,0.852,0.771,0.807,0.825,0.872,0.940,1.053,1.104,1.104,1.174
20,14.200,0.844,0.773,0.808,0.834,0.872,0.902,0.938,1.056,1.056,1.185
25,13.200,0.844,0.789,0.812,0.830,0.869,0.899,0.955,1.052,1.052,1.185
30,9.200,0.866,0.781,0.816,0.846,0.897,0.937,1.040,1.201,1.201,1.155
35,12.400,0.859,0.781,0.817,0.842,0.874,0.914,0.971,1.222,1.222,1.164
40,9.400,0.928,0.799,0.834,0.856,0.909,1.031,1.231,2.102,2.102,1.077
45,12.400,0.851,0.766,0.815,0.833,0.873,0.916,1.010,1.138,1.138,1.175
50,9.600,0.866,0.795,0.833,0.851,0.887,0.950,0.974,1.159,1.159,1.154
55,8.800,0.877,0.812,0.852,0.874,0.899,0.921,0.940,1.028,1.028,1.140
