Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,54.400,2.951,1.406,2.119,2.661,3.529,4.417,4.903,6.798,7.632,0.339
5,36.600,2.908,1.451,2.012,2.585,3.561,4.649,5.100,5.914,6.814,0.344
10,31.800,2.882,1.497,2.028,2.655,3.402,4.465,5.126,6.269,6.827,0.347
15,29.200,2.864,1.359,2.030,2.619,3.496,4.237,4.889,5.919,6.113,0.349
20,26.200,2.818,1.339,2.116,2.603,3.205,4.384,5.033,5.778,5.807,0.355
25,26.200,3.026,1.402,2.177,2.790,3.618,4.573,5.302,7.116,7.421,0.330
30,24.200,2.796,1.451,2.021,2.610,3.382,4.090,4.696,5.272,6.269,0.358
35,24.400,2.644,1.315,1.934,2.320,3.130,4.238,4.992,5.683,6.595,0.378
40,24.400,2.876,1.452,2.056,2.573,3.469,4.346,5.311,5.923,6.491,0.348
45,29.200,2.841,1.353,2.033,2.635,3.344,4.564,4.906,6.119,6.263,0.352
50,20.000,2.845,1.364,2.037,2.614,3.429,4.749,5.094,5.577,5.577,0.352
55,28.200,2.679,1.365,1.899,2.366,3.095,4.369,5.063,5.516,5.521,0.373
