Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,31.000,0.003,0.001,0.002,0.002,0.003,0.005,0.007,0.031,0.055,301.556
5,20.600,0.002,0.001,0.002,0.002,0.002,0.003,0.003,0.017,0.027,438.298
10,16.800,0.002,0.000,0.001,0.002,0.002,0.003,0.003,0.017,0.017,500.000
15,17.600,0.001,0.000,0.001,0.001,0.001,0.001,0.002,0.002,0.002,946.237
20,16.000,0.001,0.000,0.001,0.001,0.001,0.002,0.002,0.002,0.002,963.855
25,15.000,0.001,0.000,0.001,0.001,0.001,0.002,0.003,0.003,0.003,833.333
30,13.600,0.001,0.000,0.001,0.001,0.001,0.002,0.002,0.002,0.002,944.444
35,13.400,0.001,0.000,0.001,0.001,0.001,0.001,0.002,0.002,0.002,971.014
40,13.000,0.001,0.000,0.001,0.001,0.002,0.002,0.002,0.002,0.002,844.156
45,12.800,0.001,0.000,0.001,0.001,0.001,0.001,0.002,0.002,0.002,1015.873
50,13.400,0.001,0.000,0.001,0.001,0.001,0.001,0.002,0.002,0.002,957.143
55,16.000,0.001,0.000,0.001,0.001,0.001,0.002,0.002,0.002,0.002,888.889
