Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,15.600,0.503,0.382,0.413,0.439,0.548,0.689,0.769,1.170,1.170,1.987
5,10.400,0.467,0.379,0.404,0.422,0.565,0.622,0.636,0.689,0.689,2.139
10,10.000,0.482,0.374,0.400,0.427,0.592,0.638,0.652,0.692,0.692,2.076
15,9.200,0.481,0.381,0.396,0.440,0.587,0.616,0.619,0.690,0.690,2.080
20,8.600,0.465,0.376,0.405,0.425,0.564,0.603,0.624,0.633,0.633,2.149
25,8.400,0.469,0.371,0.390,0.409,0.570,0.604,0.610,0.826,0.826,2.134
30,7.200,0.471,0.375,0.396,0.425,0.577,0.599,0.628,0.640,0.640,2.124
35,7.400,0.441,0.372,0.386,0.408,0.450,0.583,0.600,0.612,0.612,2.269
40,7.400,0.479,0.367,0.401,0.433,0.581,0.622,0.680,0.712,0.712,2.089
45,6.400,0.454,0.374,0.391,0.413,0.562,0.585,0.613,0.680,0.680,2.200
50,4.600,0.437,0.371,0.398,0.413,0.455,0.493,0.599,0.642,0.642,2.289
55,7.800,0.464,0.382,0.408,0.419,0.564,0.606,0.625,0.635,0.635,2.157
