Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,602.600,1.659,0.001,0.563,0.614,1.076,2.478,4.853,18.056,21.601,0.603
5,381.200,2.617,0.001,0.561,0.609,1.096,17.186,17.501,17.898,18.904,0.382
10,316.400,3.157,0.000,0.568,0.622,1.182,17.973,18.371,19.038,21.749,0.317
15,314.400,3.190,0.000,0.556,0.601,1.500,17.334,17.484,17.728,18.702,0.314
20,286.200,3.487,0.000,0.557,0.606,1.852,17.352,17.497,17.777,18.502,0.287
25,257.000,3.891,0.000,0.562,0.616,2.285,17.554,17.817,18.520,19.146,0.257
30,242.200,4.129,0.000,0.560,0.607,2.449,17.483,17.634,18.031,20.532,0.242
35,256.800,3.888,0.000,0.557,0.611,2.031,17.606,17.854,18.210,20.759,0.257
40,257.400,3.881,0.000,0.564,0.617,2.102,17.702,17.987,18.615,19.161,0.258
45,258.000,3.879,0.000,0.557,0.606,2.228,17.567,17.783,19.674,20.149,0.258
50,237.200,4.215,0.000,0.559,0.599,2.451,17.562,17.726,18.262,18.740,0.237
55,250.400,3.974,0.000,0.572,0.620,2.248,17.734,17.992,18.575,18.962,0.252
