Time (seconds),Requests,Throughput (requests/second),Minimum Latency (microseconds),25th Percentile Latency (microseconds),Median Latency (microseconds),Average Latency (microseconds),75th Percentile Latency (microseconds),90th Percentile Latency (microseconds),95th Percentile Latency (microseconds),99th Percentile Latency (microseconds),Maximum Latency (microseconds)
0,853,853.000,1,570,630,1178,1127,1970,2915,18100,21601
1,622,622.000,1,555,594,1589,1053,2225,4557,17736,18353
2,643,643.000,1,559,599,1567,1037,2163,3873,18227,19308
3,484,484.000,1,569,631,2044,1091,3062,17644,18145,18596
4,411,411.000,2,568,626,2453,1094,4341,17569,17925,18046
5,461,461.000,1,558,608,2150,1066,3592,17386,17784,18023
6,407,407.000,1,557,596,2476,1045,5520,17400,17730,18198
7,322,322.000,1,565,622,3119,1925,17328,17536,17864,18003
8,340,340.000,1,565,607,2889,1111,17439,17748,18009,18234
9,376,376.000,1,564,614,2662,1131,17232,17548,18225,18904
10,296,296.000,1,569,623,3380,1753,17718,18012,18317,18480
11,380,380.000,0,562,612,2632,1088,17614,18198,18525,18851
12,299,299.000,0,574,628,3357,1214,18670,18985,19452,21749
13,269,269.000,1,570,617,3703,1996,18289,18605,19263,19667
14,338,338.000,1,567,626,2938,1095,17897,18239,18578,19588
15,317,317.000,0,551,597,3193,1793,17305,17474,17673,17781
16,300,300.000,1,559,612,3287,2103,17419,17592,17962,18702
17,322,322.000,1,567,623,3127,1417,17305,17480,17706,18021
18,270,270.000,0,559,608,3678,1981,17380,17514,17763,18010
19,363,363.000,1,546,584,2796,1003,17257,17453,17709,18397
20,327,327.000,0,553,598,3037,1083,17328,17453,17670,17789
21,315,315.000,1,557,615,3143,1473,17284,17426,17850,18068
22,222,222.000,0,565,673,4562,3044,17408,17492,17756,18050
23,306,306.000,1,551,592,3219,1863,17380,17617,17858,18120
24,261,261.000,1,560,608,3864,2324,17348,17517,17697,18502
25,232,232.000,0,561,635,4274,3025,17467,17657,17923,17983
26,274,274.000,0,554,601,3665,2315,17399,17533,17776,17817
27,236,236.000,1,569,626,4270,3154,18337,18520,18781,19146
28,247,247.000,0,561,621,4023,2009,17658,17879,18250,18576
29,296,296.000,2,566,615,3385,1076,17461,17652,17826,18152
30,257,257.000,0,556,597,3845,2162,17339,17486,17709,17807
31,296,296.000,0,554,590,3407,1887,17476,17577,17847,18379
32,180,180.000,1,564,644,5578,17211,17595,17845,18109,19002
33,258,258.000,1,563,617,3854,2323,17529,17782,18208,18310
34,220,220.000,0,566,611,4564,3094,17500,17616,17800,20532
35,284,284.000,1,549,584,3508,1729,17518,17727,18024,18096
36,279,279.000,1,554,595,3553,1814,17461,17604,17738,17880
37,283,283.000,1,564,622,3526,1978,17506,17780,18103,18288
38,193,193.000,0,558,650,5222,17266,17882,18120,18640,18828
39,245,245.000,0,577,672,4073,2160,17778,18045,18757,20759
40,238,238.000,0,557,641,4174,2908,17702,17824,18237,18931
41,263,263.000,0,562,612,3811,1630,17637,17841,18062,18268
42,283,283.000,0,565,608,3519,1968,18365,18534,18910,19161
43,282,282.000,1,566,623,3550,1990,17651,17860,18263,18475
44,221,221.000,2,572,618,4532,2755,17688,17965,18301,18858
45,274,274.000,1,559,618,3692,2120,17364,17552,17732,19525
46,284,284.000,0,549,592,3502,2107,17565,17771,17972,18079
47,257,257.000,1,559,613,3893,2228,17440,17644,18099,18161
48,227,227.000,0,556,599,4374,2462,17742,17965,19823,19907
49,248,248.000,0,567,630,4045,2426,17788,18215,19995,20149
50,246,246.000,1,551,588,4088,2291,17554,17657,17807,17859
51,232,232.000,1,552,599,4276,3371,17462,17632,18107,18543
52,234,234.000,0,563,617,4263,2614,17602,17892,18215,18469
53,252,252.000,0,559,598,3953,1556,17605,18129,18501,18740
54,222,222.000,1,561,606,4534,3125,17562,17630,17833,18261
55,275,275.000,0,569,617,3604,2174,17721,17912,18185,18396
56,229,229.000,1,574,628,4411,2578,17548,17621,17788,17894
57,228,228.000,1,580,626,4348,2681,18500,18586,18902,18962
58,254,254.000,0,558,612,3988,2267,17927,18049,18310,18381
59,266,266.000,0,578,615,3643,2113,17643,17781,17902,18020
