Transaction Type Index,Transaction Name,Start Time (microseconds),Latency (microseconds),Worker Id (start number),Phase Id (index in config file)
1,GetItem,1687744433.992594,1187,0,1
7,NewItem,1687744433.993833,8341,0,1
2,GetUserInfo,1687744434.002187,987,0,1
1,GetItem,1687744434.003186,950,0,1
1,GetItem,1687744434.004145,936,0,1
1,GetItem,1687744434.005091,974,0,1
7,NewItem,1687744434.006075,7187,0,1
1,GetItem,1687744434.013273,1336,0,1
1,GetItem,1687744434.014620,827,0,1
6,NewFeedback,1687744434.015460,1697,0,1
1,GetItem,1687744434.017167,804,0,1
7,NewItem,1687744434.017979,3020,0,1
3,NewBid,1687744434.021010,2471,0,1
1,GetItem,1687744434.023492,860,0,1
1,GetItem,1687744434.024362,802,0,1
1,GetItem,1687744434.025174,646,0,1
3,NewBid,1687744434.025828,1662,0,1
3,NewBid,1687744434.027500,1682,0,1
1,GetItem,1687744434.029192,823,0,1
2,GetUserInfo,1687744434.030024,624,0,1
1,GetItem,1687744434.030656,973,0,1
6,NewFeedback,1687744434.031639,1207,0,1
8,NewPurchase,1687744434.032855,31,0,1
1,GetItem,1687744434.032893,801,0,1
1,GetItem,1687744434.033709,757,0,1
1,GetItem,1687744434.034476,835,0,1
1,GetItem,1687744434.035347,751,0,1
1,GetItem,1687744434.036109,684,0,1
6,NewFeedback,1687744434.036802,1225,0,1
9,UpdateItem,1687744434.038037,694,0,1
6,NewFeedback,1687744434.038740,1211,0,1
1,GetItem,1687744434.039962,657,0,1
7,NewItem,1687744434.040628,3087,0,1
3,NewBid,1687744434.043725,1889,0,1
1,GetItem,1687744434.045629,725,0,1
1,GetItem,1687744434.046363,703,0,1
1,GetItem,1687744434.047076,710,0,1
1,GetItem,1687744434.047794,597,0,1
1,GetItem,1687744434.048398,643,0,1
3,NewBid,1687744434.049048,2004,0,1
6,NewFeedback,1687744434.051063,1292,0,1
1,GetItem,1687744434.052364,695,0,1
1,GetItem,1687744434.053070,755,0,1
1,GetItem,1687744434.053863,718,0,1
1,GetItem,1687744434.054590,721,0,1
8,NewPurchase,1687744434.055322,10,0,1
6,NewFeedback,1687744434.055336,1171,0,1
1,GetItem,1687744434.056516,736,0,1
1,GetItem,1687744434.057263,637,0,1
