Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,193.600,0.592,0.518,0.550,0.569,0.603,0.657,0.727,0.974,1.649,1.689
5,121.400,0.571,0.514,0.542,0.561,0.586,0.623,0.654,0.704,0.828,1.752
10,139.200,0.579,0.516,0.548,0.566,0.592,0.622,0.659,0.883,1.339,1.726
15,158.000,0.569,0.521,0.546,0.562,0.580,0.606,0.633,0.715,0.796,1.759
20,141.400,0.580,0.517,0.549,0.569,0.593,0.623,0.650,0.815,1.014,1.726
25,122.000,0.576,0.519,0.552,0.568,0.587,0.614,0.637,0.769,0.903,1.736
30,136.600,0.581,0.520,0.551,0.569,0.594,0.626,0.660,0.818,1.161,1.720
35,126.000,0.573,0.511,0.545,0.562,0.584,0.609,0.645,0.779,1.205,1.745
40,123.800,0.575,0.509,0.548,0.564,0.589,0.619,0.650,0.717,1.896,1.739
45,120.600,0.567,0.510,0.542,0.559,0.581,0.609,0.636,0.735,0.827,1.764
50,126.800,0.577,0.509,0.543,0.561,0.587,0.625,0.669,0.940,1.388,1.734
55,114.000,0.577,0.514,0.547,0.565,0.587,0.623,0.658,0.808,1.415,1.734
