Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,46.400,0.749,0.345,0.382,0.569,0.772,1.680,2.030,3.101,3.794,1.336
5,28.600,0.626,0.345,0.371,0.553,0.687,0.871,1.729,2.290,2.460,1.598
10,30.200,0.745,0.349,0.375,0.570,0.762,1.194,1.925,5.224,7.638,1.343
15,32.200,0.684,0.349,0.378,0.565,0.739,0.999,1.257,4.059,7.389,1.462
20,33.000,0.554,0.348,0.372,0.423,0.636,0.795,0.987,1.993,2.998,1.805
25,25.000,0.682,0.349,0.377,0.441,0.659,0.967,2.025,4.043,6.093,1.467
30,31.400,0.664,0.346,0.379,0.567,0.676,1.069,2.014,2.247,2.799,1.507
35,29.800,0.590,0.344,0.376,0.416,0.641,0.963,1.221,2.079,2.097,1.695
40,25.800,0.722,0.346,0.381,0.589,0.784,1.814,2.039,2.254,2.657,1.385
45,25.200,0.725,0.347,0.373,0.570,0.779,1.809,2.080,2.346,2.404,1.380
50,28.400,0.736,0.347,0.375,0.568,0.782,1.834,2.035,2.565,2.798,1.358
55,28.200,0.730,0.341,0.380,0.571,0.740,1.851,2.089,2.409,2.514,1.370
