Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,92.200,7.295,0.978,1.045,1.116,1.325,29.843,30.412,31.636,45.697,0.137
5,57.000,14.493,0.963,1.030,1.127,29.780,30.404,30.703,30.928,31.009,0.069
10,63.000,12.393,0.972,1.061,15.667,16.076,29.976,30.286,30.921,31.094,0.081
15,67.200,11.286,0.956,1.062,15.640,15.791,15.949,16.049,16.207,16.400,0.089
20,64.000,12.379,0.972,15.466,15.683,15.803,16.276,16.618,17.184,17.453,0.081
25,58.200,13.898,0.981,15.798,15.932,16.086,16.244,16.365,16.580,16.705,0.072
30,57.800,13.664,0.958,15.824,15.972,16.157,16.402,17.682,18.196,18.794,0.073
35,55.800,14.679,0.975,15.870,16.022,16.221,16.729,16.953,17.181,17.278,0.068
40,55.000,14.844,0.970,15.941,16.066,16.180,16.342,16.460,16.850,16.930,0.067
45,55.000,14.883,0.988,15.898,16.008,16.172,16.303,16.500,17.534,17.982,0.067
50,52.000,15.583,0.987,15.973,16.118,16.316,16.767,17.020,17.388,17.812,0.064
55,52.400,15.611,0.984,15.998,16.107,16.275,16.552,16.761,17.140,17.540,0.064
