Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,8.400,1.123,0.951,1.001,1.041,1.175,1.390,1.432,1.878,1.878,0.891
5,5.400,1.028,0.955,0.988,1.028,1.058,1.092,1.095,1.225,1.225,0.972
10,4.600,1.089,0.962,1.005,1.059,1.108,1.156,1.334,1.731,1.731,0.918
15,7.600,1.015,0.940,0.987,1.008,1.038,1.058,1.113,1.128,1.128,0.986
20,7.600,1.034,0.962,1.002,1.032,1.070,1.084,1.122,1.143,1.143,0.967
25,6.400,1.038,0.963,1.004,1.030,1.072,1.102,1.116,1.254,1.254,0.963
30,4.400,1.043,0.964,1.009,1.027,1.074,1.121,1.132,1.217,1.217,0.959
35,4.000,1.066,0.967,1.025,1.060,1.076,1.160,1.213,1.213,1.213,0.938
40,5.200,1.045,0.913,0.991,1.019,1.085,1.114,1.256,1.385,1.385,0.957
45,6.000,1.019,0.931,0.976,1.000,1.042,1.069,1.130,1.363,1.363,0.981
50,5.400,1.018,0.929,0.976,1.015,1.048,1.085,1.102,1.105,1.105,0.982
55,5.400,1.015,0.951,0.983,1.015,1.039,1.067,1.079,1.096,1.096,0.985
