Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,4.000,0.678,0.557,0.583,0.696,0.756,0.808,0.928,0.928,0.928,1.475
5,2.800,0.618,0.565,0.577,0.609,0.661,0.680,0.725,0.725,0.725,1.619
10,3.200,0.637,0.583,0.592,0.625,0.662,0.730,0.781,0.781,0.781,1.570
15,3.800,0.611,0.570,0.587,0.604,0.637,0.649,0.715,0.715,0.715,1.636
20,2.200,0.614,0.573,0.589,0.598,0.642,0.670,0.685,0.685,0.685,1.628
25,2.600,0.610,0.576,0.585,0.602,0.615,0.622,0.737,0.737,0.737,1.638
30,2.400,0.615,0.580,0.596,0.606,0.641,0.665,0.689,0.689,0.689,1.625
35,3.000,0.609,0.578,0.586,0.610,0.627,0.636,0.658,0.658,0.658,1.643
40,2.600,0.599,0.555,0.578,0.597,0.611,0.642,0.651,0.651,0.651,1.669
45,2.800,0.641,0.567,0.574,0.582,0.594,0.905,1.099,1.099,1.099,1.560
50,4.400,0.604,0.545,0.578,0.598,0.616,0.622,0.630,0.814,0.814,1.655
55,4.600,0.614,0.561,0.581,0.592,0.620,0.683,0.712,0.802,0.802,1.628
