Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,21.000,0.887,0.779,0.820,0.846,0.877,1.042,1.207,1.393,1.697,1.128
5,9.600,0.849,0.788,0.810,0.826,0.862,0.904,0.920,1.445,1.445,1.178
10,10.200,0.876,0.774,0.825,0.854,0.889,0.995,1.059,1.138,1.138,1.142
15,13.400,0.843,0.749,0.806,0.828,0.851,0.909,0.938,1.404,1.404,1.186
20,13.000,0.849,0.773,0.817,0.838,0.869,0.911,0.939,1.009,1.009,1.178
25,12.800,0.847,0.781,0.807,0.831,0.870,0.907,0.968,1.167,1.167,1.180
30,14.400,0.855,0.769,0.806,0.841,0.880,0.934,0.988,1.217,1.217,1.169
35,10.600,0.853,0.763,0.806,0.831,0.881,0.932,0.995,1.093,1.093,1.173
40,10.400,0.848,0.760,0.811,0.834,0.877,0.913,1.011,1.109,1.109,1.179
45,10.200,0.831,0.758,0.793,0.823,0.853,0.886,0.961,1.033,1.033,1.204
50,7.800,0.860,0.743,0.801,0.829,0.874,0.957,1.151,1.377,1.377,1.163
55,8.600,0.853,0.791,0.810,0.835,0.864,0.905,0.926,1.325,1.325,1.172
