Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,47.200,2.938,1.674,2.173,2.635,3.467,4.299,4.874,7.187,8.341,0.340
5,25.200,2.707,1.693,2.033,2.446,3.111,4.155,4.592,5.399,6.220,0.369
10,32.400,2.931,1.677,2.143,2.634,3.496,4.682,4.798,5.843,5.891,0.341
15,36.400,2.795,1.326,2.007,2.620,3.446,4.076,4.503,5.846,6.428,0.358
20,30.000,2.771,1.382,2.006,2.611,3.208,4.142,4.784,6.034,6.610,0.361
25,29.800,2.750,1.357,1.939,2.540,3.213,4.093,5.014,6.185,6.279,0.364
30,30.200,2.840,1.337,2.032,2.685,3.391,4.248,4.515,6.156,6.338,0.352
35,25.000,2.911,1.515,2.138,2.593,3.494,4.413,4.851,5.517,6.310,0.344
40,26.600,2.812,1.409,2.042,2.504,3.326,4.588,5.101,5.848,5.901,0.356
45,27.000,2.669,1.295,1.885,2.375,3.145,4.172,4.505,5.558,5.992,0.375
50,28.000,2.752,1.375,2.032,2.593,3.315,4.432,4.727,5.041,5.074,0.363
55,26.800,2.730,1.399,1.926,2.433,3.278,4.368,4.991,5.332,5.340,0.366
