Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,24.000,0.004,0.001,0.002,0.003,0.003,0.007,0.010,0.031,0.032,269.663
5,17.200,0.002,0.001,0.002,0.002,0.003,0.004,0.004,0.008,0.008,417.476
10,15.400,0.002,0.001,0.002,0.002,0.002,0.003,0.003,0.017,0.017,469.512
15,16.000,0.001,0.000,0.001,0.001,0.002,0.002,0.003,0.007,0.007,677.966
20,15.800,0.001,0.000,0.001,0.001,0.001,0.002,0.002,0.002,0.002,951.807
25,13.400,0.001,0.000,0.001,0.001,0.002,0.002,0.002,0.003,0.003,797.619
30,15.600,0.001,0.000,0.001,0.001,0.001,0.002,0.002,0.002,0.002,1012.987
35,14.200,0.001,0.000,0.001,0.001,0.002,0.002,0.002,0.003,0.003,788.889
40,14.200,0.001,0.000,0.001,0.001,0.002,0.002,0.002,0.003,0.003,797.753
45,16.600,0.001,0.000,0.001,0.001,0.001,0.002,0.002,0.002,0.002,943.182
50,12.800,0.001,0.000,0.001,0.001,0.001,0.002,0.002,0.003,0.003,888.889
55,13.600,0.001,0.000,0.001,0.001,0.002,0.002,0.002,0.002,0.002,839.506
