Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,14.200,0.482,0.385,0.404,0.421,0.524,0.680,0.761,1.000,1.000,2.076
5,7.600,0.460,0.385,0.401,0.420,0.457,0.623,0.668,0.777,0.777,2.172
10,8.000,0.460,0.376,0.400,0.426,0.536,0.591,0.637,0.638,0.638,2.174
15,11.800,0.461,0.374,0.400,0.416,0.566,0.595,0.622,0.654,0.654,2.171
20,10.000,0.462,0.378,0.402,0.434,0.486,0.601,0.664,0.715,0.715,2.166
25,6.600,0.454,0.373,0.390,0.416,0.508,0.589,0.626,0.707,0.707,2.204
30,8.200,0.429,0.372,0.386,0.406,0.426,0.571,0.575,0.588,0.588,2.334
35,12.600,0.427,0.367,0.385,0.403,0.430,0.558,0.573,0.635,0.635,2.341
40,7.800,0.420,0.368,0.385,0.400,0.416,0.563,0.609,0.613,0.613,2.383
45,6.800,0.435,0.366,0.381,0.403,0.435,0.579,0.619,0.680,0.680,2.299
50,8.400,0.432,0.362,0.378,0.393,0.424,0.580,0.620,0.673,0.673,2.313
55,8.600,0.455,0.356,0.385,0.415,0.556,0.574,0.582,0.656,0.656,2.197
