Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,451.000,2.214,0.001,0.553,0.619,1.087,2.584,4.682,30.470,45.697,0.452
5,274.800,3.641,0.001,0.543,0.593,1.043,4.734,29.884,30.774,31.009,0.275
10,306.200,3.261,0.001,0.551,0.599,1.146,15.681,16.087,30.286,31.094,0.307
15,346.400,2.883,0.000,0.549,0.587,1.149,15.630,15.789,16.046,16.400,0.347
20,317.000,3.156,0.000,0.551,0.597,1.382,15.684,15.803,16.618,17.453,0.317
25,276.800,3.614,0.000,0.555,0.601,2.236,15.948,16.093,16.369,16.705,0.277
30,301.000,3.315,0.000,0.553,0.599,1.893,15.959,16.147,17.523,18.794,0.302
35,281.000,3.566,0.000,0.544,0.584,2.058,16.019,16.205,16.934,17.278,0.280
40,271.400,3.685,0.000,0.549,0.597,2.217,16.066,16.183,16.460,16.930,0.271
45,270.200,3.688,0.000,0.544,0.588,2.205,16.010,16.177,16.500,17.982,0.271
50,274.000,3.649,0.000,0.545,0.589,2.245,16.103,16.305,17.013,17.812,0.274
55,262.200,3.803,0.000,0.549,0.595,2.329,16.102,16.275,16.761,17.540,0.263
