Time (seconds),Requests,Throughput (requests/second),Minimum Latency (microseconds),25th Percentile Latency (microseconds),Median Latency (microseconds),Average Latency (microseconds),75th Percentile Latency (microseconds),90th Percentile Latency (microseconds),95th Percentile Latency (microseconds),99th Percentile Latency (microseconds),Maximum Latency (microseconds)
0,610,610.000,1,596,725,1633,1196,2472,3590,31347,45697
1,454,454.000,1,544,580,2221,1060,2409,4646,30943,31687
2,426,426.000,1,549,586,2366,1058,3065,5620,29866,30470
3,355,355.000,1,549,597,2790,1070,2964,29342,29901,30342
4,410,410.000,1,548,591,2409,1033,2333,29090,29893,30502
5,292,292.000,1,542,597,3428,1038,3803,29027,29670,29733
6,285,285.000,1,545,599,3501,1091,4165,29484,29777,30148
7,273,273.000,1,548,603,3707,1031,6220,29892,30216,30370
8,259,259.000,1,538,584,3888,1038,30054,30264,30470,30516
9,265,265.000,1,540,590,3714,1044,4834,30774,30928,31009
10,358,358.000,1,541,576,2787,1010,2851,29909,30714,30957
11,263,263.000,1,562,607,3886,1120,29514,29977,30505,31094
12,296,296.000,1,554,600,3283,1880,15698,16236,29378,29459
13,349,349.000,1,555,608,2862,1763,15657,15809,15968,17032
14,265,265.000,1,561,657,3779,2589,15848,15952,16201,16392
15,293,293.000,0,549,601,3434,2148,15640,15791,15936,16132
16,308,308.000,1,549,592,3218,2014,15678,15859,16049,16148
17,389,389.000,1,547,581,2568,1037,15558,15696,15946,16015
18,366,366.000,0,553,591,2735,1067,15678,15892,16109,16323
19,376,376.000,1,548,583,2649,1025,15608,15759,16088,16400
20,295,295.000,0,552,600,3434,1821,15680,15798,16015,16573
21,264,264.000,0,556,616,3740,2746,15725,15795,16290,17184
22,369,369.000,0,555,599,2736,1030,15684,15833,16147,16385
23,325,325.000,1,544,587,3053,1455,15629,15703,15810,15965
24,332,332.000,0,549,598,3011,1124,15739,16558,17136,17453
25,281,281.000,1,546,584,3538,1905,15983,16218,16482,16580
26,302,302.000,0,554,605,3330,2036,15966,16138,16364,16705
27,293,293.000,0,557,595,3391,1877,15916,16080,16358,16473
28,253,253.000,1,563,615,3966,3007,15927,16020,16242,16398
29,255,255.000,0,560,608,3935,2922,15919,16017,16134,16221
30,347,347.000,0,561,609,2854,1094,15836,16157,16652,17198
31,299,299.000,0,546,593,3353,1917,15898,15976,16147,16232
32,278,278.000,0,554,594,3583,2239,16204,17830,18196,18794
33,254,254.000,0,554,608,3964,2276,15999,16061,16214,16328
34,327,327.000,0,550,603,3034,1211,15986,16186,16397,16480
35,220,220.000,0,542,598,4578,15695,16186,16317,16471,16499
36,324,324.000,0,543,577,3069,1808,16005,16241,16649,16803
37,288,288.000,1,544,583,3474,1961,15916,16038,16161,16350
38,308,308.000,0,543,577,3247,1145,15890,16023,16190,17278
39,265,265.000,1,552,598,3803,2401,16624,16934,17172,17203
40,288,288.000,0,545,579,3454,1876,16105,16315,16850,16930
41,284,284.000,0,553,604,3496,2115,16014,16148,16389,16625
42,232,232.000,0,553,634,4347,3326,16011,16135,16356,16500
43,269,269.000,0,551,604,3700,2159,16091,16180,16390,16490
44,284,284.000,0,547,595,3550,2030,16104,16202,16460,16574
45,277,277.000,0,554,603,3592,2021,16111,16260,16500,16661
46,280,280.000,0,547,596,3527,2098,16104,16233,16358,16668
47,318,318.000,0,541,579,3180,1449,15935,16020,16138,16203
48,239,239.000,1,541,580,4144,2908,16001,16089,16423,16897
49,237,237.000,0,542,587,4211,3752,16011,16219,17534,17982
50,306,306.000,0,539,583,3289,1834,16140,16272,16457,17812
51,258,258.000,1,550,616,3881,2627,16122,16337,16767,17388
52,264,264.000,0,549,591,3764,2472,16022,16154,16392,16493
53,256,256.000,1,549,593,3887,2407,16049,16177,16409,16514
54,286,286.000,1,538,581,3504,2173,16292,16971,17193,17637
55,273,273.000,1,553,601,3667,2141,16368,16682,17140,17540
56,244,244.000,1,548,599,4139,2644,16168,16291,16529,17020
57,255,255.000,0,554,603,3881,2367,16053,16134,16348,16761
58,274,274.000,1,542,584,3668,2128,16060,16259,16408,16822
59,265,265.000,0,546,594,3695,2695,16065,16210,16428,16723
