Transaction Type Index,Transaction Name,Start Time (microseconds),Latency (microseconds),Worker Id (start number),Phase Id (index in config file)
1,GetItem,1687744710.281410,1185,0,1
1,GetItem,1687744710.282642,1107,0,1
1,GetItem,1687744710.283762,1063,0,1
1,GetItem,1687744710.284834,1009,0,1
2,GetUserInfo,1687744710.285855,2080,0,1
4,NewComment,1687744710.287947,2610,0,1
2,GetUserInfo,1687744710.290569,671,0,1
1,GetItem,1687744710.291249,1292,0,1
1,GetItem,1687744710.292552,929,0,1
7,NewItem,1687744710.293491,8594,0,1
1,GetItem,1687744710.302097,916,0,1
1,GetItem,1687744710.303023,843,0,1
1,GetItem,1687744710.303877,785,0,1
1,GetItem,1687744710.304670,678,0,1
1,GetItem,1687744710.305356,766,0,1
3,NewBid,1687744710.306130,2388,0,1
7,NewItem,1687744710.308529,3420,0,1
8,NewPurchase,1687744710.311959,26,0,1
1,GetItem,1687744710.311991,736,0,1
1,GetItem,1687744710.312736,653,0,1
3,NewBid,1687744710.313397,1708,0,1
6,NewFeedback,1687744710.315116,1597,0,1
2,GetUserInfo,1687744710.316724,674,0,1
1,GetItem,1687744710.317407,698,0,1
7,NewItem,1687744710.318114,4840,0,1
1,GetItem,1687744710.322965,751,0,1
1,GetItem,1687744710.323725,906,0,1
1,GetItem,1687744710.324646,780,0,1
1,GetItem,1687744710.325436,732,0,1
1,GetItem,1687744710.326177,667,0,1
2,GetUserInfo,1687744710.326851,1173,0,1
1,GetItem,1687744710.328035,697,0,1
1,GetItem,1687744710.328741,634,0,1
7,NewItem,1687744710.329382,6082,0,1
3,NewBid,1687744710.335475,1553,0,1
8,NewPurchase,1687744710.337037,9,0,1
1,GetItem,1687744710.337051,660,0,1
1,GetItem,1687744710.337718,793,0,1
8,NewPurchase,1687744710.338520,9,0,1
1,GetItem,1687744710.338534,656,0,1
1,GetItem,1687744710.339229,669,0,1
3,NewBid,1687744710.339906,1658,0,1
3,NewBid,1687744710.341574,2146,0,1
1,GetItem,1687744710.343761,782,0,1
3,NewBid,1687744710.344552,1912,0,1
1,GetItem,1687744710.346479,1012,0,1
1,GetItem,1687744710.347504,802,0,1
1,GetItem,1687744710.348316,707,0,1
1,GetItem,1687744710.349034,662,0,1
3,NewBid,1687744710.349737,20267,0,1
3,NewBid,1687744710.370020,1368,0,1
1,GetItem,1687744710.371398,677,0,1
1,GetItem,1687744710.372083,614,0,1
7,NewItem,1687744710.372704,2847,0,1
1,GetItem,1687744710.375592,774,0,1
1,GetItem,1687744710.376383,700,0,1
