Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,254.800,0.607,0.531,0.567,0.590,0.623,0.678,0.732,0.903,1.292,1.647
5,177.400,0.595,0.534,0.568,0.585,0.609,0.640,0.666,0.748,1.400,1.680
10,157.200,0.593,0.533,0.568,0.585,0.608,0.635,0.668,0.735,1.011,1.685
15,145.600,0.583,0.525,0.562,0.577,0.596,0.620,0.636,0.687,0.833,1.716
20,154.400,0.581,0.526,0.558,0.575,0.594,0.623,0.646,0.706,1.042,1.721
25,137.600,0.570,0.514,0.549,0.565,0.585,0.608,0.629,0.689,0.791,1.755
30,125.000,0.593,0.537,0.566,0.584,0.609,0.642,0.669,0.733,0.861,1.685
35,134.200,0.581,0.521,0.559,0.573,0.595,0.624,0.649,0.710,0.854,1.721
40,125.200,0.579,0.524,0.556,0.572,0.592,0.620,0.642,0.707,1.135,1.726
45,118.800,0.578,0.521,0.551,0.569,0.590,0.618,0.648,0.751,0.893,1.732
50,112.600,0.594,0.537,0.566,0.582,0.607,0.645,0.675,0.782,0.901,1.683
55,122.800,0.585,0.512,0.560,0.579,0.601,0.630,0.649,0.696,0.769,1.711
