Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,54.000,0.773,0.354,0.396,0.598,0.897,1.656,1.905,2.281,11.169,1.294
5,41.600,0.692,0.356,0.390,0.572,0.769,1.680,1.826,2.541,2.623,1.444
10,32.000,0.646,0.362,0.387,0.566,0.650,1.030,1.939,2.142,2.392,1.548
15,29.400,0.685,0.361,0.384,0.578,0.690,1.727,1.905,2.375,2.612,1.459
20,31.000,0.667,0.355,0.381,0.550,0.645,1.746,1.982,2.217,2.263,1.499
25,29.200,0.751,0.350,0.377,0.585,0.861,1.775,1.969,2.323,2.399,1.332
30,31.400,0.730,0.358,0.392,0.583,0.798,1.796,1.997,2.212,2.706,1.370
35,28.000,0.653,0.355,0.383,0.559,0.727,1.045,1.829,2.108,2.164,1.531
40,30.600,0.675,0.356,0.383,0.558,0.699,1.783,1.828,2.284,2.354,1.481
45,25.400,0.664,0.347,0.384,0.558,0.691,1.046,1.866,2.166,2.338,1.505
50,26.400,0.703,0.362,0.388,0.492,0.751,1.791,2.068,2.329,2.989,1.422
55,28.200,0.717,0.347,0.387,0.579,0.754,1.782,2.037,2.187,2.442,1.394
