Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,114.800,5.232,0.983,1.066,1.136,15.825,16.505,16.860,17.294,20.267,0.191
5,80.400,8.802,1.000,1.071,15.716,16.121,16.341,16.512,16.703,17.313,0.114
10,69.200,11.078,0.982,1.089,15.704,15.972,16.238,16.730,17.746,17.875,0.090
15,64.800,12.113,0.973,15.286,15.596,15.791,16.305,16.560,16.766,16.913,0.083
20,60.000,12.919,0.987,15.461,15.622,15.755,15.907,16.033,16.533,16.749,0.077
25,60.000,13.413,0.972,15.455,15.582,15.735,15.865,16.009,16.177,16.215,0.075
30,54.800,14.656,1.002,15.789,16.134,16.382,16.619,16.780,17.586,17.785,0.068
35,56.400,14.324,0.997,15.544,15.677,15.821,15.988,16.076,16.219,16.416,0.070
40,54.200,14.962,1.021,15.628,15.755,15.875,15.992,16.059,16.193,16.301,0.067
45,53.400,15.440,1.013,15.717,15.873,16.138,16.642,16.791,17.045,17.269,0.065
50,53.600,15.250,1.019,15.634,15.837,16.082,16.375,16.518,16.859,16.928,0.066
55,52.000,15.390,0.984,15.852,16.011,16.165,16.323,16.446,16.568,16.745,0.065
