Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,11.200,1.123,0.963,1.019,1.044,1.114,1.320,1.515,2.610,2.610,0.891
5,6.000,1.052,0.990,1.015,1.043,1.081,1.128,1.163,1.188,1.188,0.951
10,9.600,1.053,0.987,1.019,1.038,1.087,1.112,1.133,1.342,1.342,0.949
15,6.000,1.048,0.954,1.011,1.036,1.069,1.097,1.114,1.316,1.316,0.954
20,6.400,1.045,0.986,1.019,1.041,1.065,1.099,1.104,1.116,1.116,0.957
25,6.200,1.045,0.960,1.003,1.020,1.044,1.122,1.329,1.347,1.347,0.957
30,6.000,1.100,1.002,1.037,1.081,1.151,1.231,1.244,1.249,1.249,0.909
35,8.000,1.032,0.925,0.992,1.014,1.063,1.143,1.193,1.200,1.200,0.969
40,6.800,1.061,0.967,0.999,1.036,1.070,1.124,1.356,1.580,1.580,0.943
45,6.200,1.026,0.937,0.977,1.021,1.059,1.115,1.142,1.175,1.175,0.975
50,5.000,1.082,0.994,1.018,1.067,1.119,1.155,1.186,1.369,1.369,0.924
55,6.600,1.037,0.957,0.998,1.031,1.060,1.114,1.155,1.245,1.245,0.965
