Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,4.400,0.687,0.566,0.622,0.675,0.748,0.779,0.828,0.944,0.944,1.457
5,4.400,0.619,0.567,0.597,0.609,0.627,0.645,0.681,0.790,0.790,1.615
10,3.000,0.619,0.587,0.593,0.601,0.637,0.686,0.701,0.701,0.701,1.614
15,2.200,0.620,0.595,0.598,0.617,0.644,0.660,0.663,0.663,0.663,1.612
20,3.800,0.606,0.568,0.588,0.600,0.611,0.653,0.698,0.698,0.698,1.651
25,2.400,0.605,0.578,0.597,0.599,0.612,0.630,0.661,0.661,0.661,1.652
30,3.200,0.634,0.588,0.608,0.615,0.646,0.734,0.769,0.769,0.769,1.577
35,2.600,0.619,0.574,0.594,0.604,0.645,0.665,0.712,0.712,0.712,1.616
40,2.800,0.608,0.583,0.597,0.604,0.620,0.632,0.654,0.654,0.654,1.644
45,2.800,0.595,0.576,0.581,0.596,0.604,0.613,0.617,0.617,0.617,1.680
50,3.400,0.622,0.585,0.600,0.611,0.617,0.642,0.825,0.825,0.825,1.608
55,3.400,0.618,0.564,0.598,0.611,0.619,0.667,0.713,0.713,0.713,1.618
