Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,23.400,0.908,0.792,0.837,0.868,0.906,1.117,1.183,1.438,1.597,1.102
5,14.400,0.865,0.800,0.834,0.864,0.894,0.914,0.925,1.016,1.016,1.156
10,10.800,0.865,0.805,0.839,0.860,0.883,0.914,0.932,1.041,1.041,1.156
15,12.000,0.860,0.812,0.832,0.856,0.875,0.910,0.934,0.991,0.991,1.163
20,15.200,0.842,0.777,0.808,0.844,0.867,0.881,0.916,1.008,1.008,1.187
25,11.000,0.834,0.761,0.804,0.836,0.860,0.876,0.897,0.915,0.915,1.199
30,11.400,0.886,0.797,0.842,0.871,0.911,0.964,1.044,1.110,1.110,1.129
35,12.000,0.854,0.789,0.819,0.843,0.887,0.914,0.981,1.016,1.016,1.171
40,10.800,0.850,0.790,0.817,0.847,0.875,0.904,0.923,0.976,0.976,1.177
45,10.200,0.839,0.794,0.808,0.838,0.859,0.886,0.896,0.923,0.923,1.192
50,9.600,0.897,0.797,0.850,0.876,0.928,1.004,1.078,1.179,1.179,1.115
55,12.000,0.864,0.780,0.826,0.862,0.885,0.912,0.948,1.314,1.314,1.157
