Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,51.800,3.008,1.689,2.163,2.664,3.543,4.677,5.369,6.635,8.594,0.332
5,45.200,2.899,1.421,2.124,2.587,3.444,4.587,5.014,6.081,6.436,0.345
10,32.800,2.755,1.467,1.940,2.542,3.252,4.063,4.999,5.942,6.385,0.363
15,30.600,2.784,1.380,2.026,2.562,3.310,4.208,4.815,5.299,5.387,0.359
20,33.800,2.648,1.425,1.925,2.308,3.110,4.238,4.688,5.364,5.475,0.378
25,27.600,2.615,1.356,1.860,2.386,3.044,4.171,4.440,5.380,5.593,0.382
30,27.400,2.792,1.401,2.053,2.672,3.207,4.150,5.120,6.314,6.933,0.358
35,26.200,2.680,1.337,1.971,2.437,3.060,3.905,5.065,5.726,5.861,0.373
40,27.400,2.768,1.413,1.923,2.436,3.438,4.269,4.852,5.204,5.208,0.361
45,24.400,2.767,1.360,1.912,2.607,3.164,4.284,5.102,5.856,6.469,0.361
50,29.200,2.604,1.370,1.923,2.310,2.970,4.223,4.780,5.468,5.499,0.384
55,28.800,2.830,1.380,1.912,2.660,3.425,4.274,4.919,5.731,5.824,0.353
