Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,25.400,0.003,0.001,0.002,0.002,0.003,0.005,0.009,0.026,0.029,309.756
5,19.600,0.002,0.000,0.002,0.002,0.002,0.004,0.004,0.008,0.008,455.814
10,20.000,0.002,0.000,0.001,0.002,0.002,0.002,0.002,0.017,0.017,564.972
15,14.600,0.001,0.000,0.001,0.001,0.001,0.001,0.002,0.002,0.002,986.486
20,14.000,0.001,0.000,0.001,0.001,0.002,0.002,0.002,0.003,0.003,729.167
25,12.600,0.001,0.001,0.001,0.001,0.001,0.002,0.002,0.003,0.003,887.324
30,13.200,0.001,0.001,0.001,0.001,0.002,0.002,0.003,0.003,0.003,694.737
35,14.400,0.001,0.000,0.001,0.001,0.001,0.002,0.003,0.003,0.003,837.209
40,15.800,0.001,0.000,0.001,0.001,0.001,0.002,0.002,0.003,0.003,951.807
45,13.200,0.001,0.000,0.001,0.001,0.001,0.001,0.001,0.002,0.002,1100.000
50,12.200,0.001,0.000,0.001,0.001,0.001,0.002,0.002,0.003,0.003,813.333
55,16.200,0.001,0.000,0.001,0.001,0.001,0.002,0.002,0.003,0.003,964.286
