Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,18.400,0.497,0.380,0.415,0.441,0.586,0.687,0.710,0.835,0.835,2.011
5,12.600,0.485,0.388,0.406,0.437,0.594,0.621,0.638,0.704,0.704,2.061
10,11.400,0.454,0.386,0.401,0.419,0.467,0.620,0.629,0.654,0.654,2.201
15,10.800,0.495,0.390,0.410,0.450,0.584,0.634,0.697,0.739,0.739,2.021
20,7.800,0.443,0.373,0.394,0.411,0.434,0.579,0.616,0.635,0.635,2.258
25,9.000,0.451,0.369,0.381,0.415,0.540,0.597,0.608,0.657,0.657,2.215
30,8.400,0.477,0.388,0.411,0.436,0.586,0.602,0.618,0.674,0.674,2.096
35,11.200,0.465,0.377,0.393,0.411,0.571,0.598,0.619,0.688,0.688,2.150
40,8.200,0.447,0.374,0.392,0.402,0.437,0.602,0.611,0.676,0.676,2.239
45,8.400,0.457,0.372,0.394,0.409,0.563,0.600,0.606,0.636,0.636,2.186
50,8.600,0.455,0.370,0.403,0.417,0.483,0.589,0.589,0.633,0.633,2.197
55,7.200,0.456,0.363,0.397,0.412,0.560,0.586,0.619,0.620,0.620,2.191
