Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,558.200,1.790,0.001,0.571,0.637,1.090,2.697,15.859,16.870,20.267,0.559
5,401.600,2.492,0.000,0.571,0.616,1.120,15.716,16.121,16.512,17.313,0.401
10,346.000,2.883,0.000,0.569,0.610,1.117,15.704,15.972,16.730,17.875,0.347
15,316.000,3.160,0.000,0.566,0.601,1.799,15.600,15.797,16.578,16.913,0.316
20,326.400,3.065,0.000,0.561,0.598,1.758,15.599,15.748,15.984,16.749,0.326
25,295.600,3.378,0.001,0.553,0.592,1.833,15.587,15.737,16.009,16.215,0.296
30,280.800,3.559,0.001,0.569,0.616,2.081,16.114,16.375,16.758,17.785,0.281
35,293.000,3.412,0.000,0.560,0.600,1.863,15.672,15.820,16.076,16.416,0.293
40,281.800,3.555,0.000,0.557,0.596,2.051,15.746,15.871,16.058,16.301,0.281
45,262.800,3.797,0.000,0.554,0.595,2.347,15.875,16.149,16.791,17.269,0.263
50,260.600,3.833,0.000,0.569,0.616,2.330,15.846,16.101,16.518,16.928,0.261
55,277.200,3.595,0.000,0.564,0.607,2.204,15.998,16.150,16.437,16.745,0.278
