Time (seconds),Requests,Throughput (requests/second),Minimum Latency (microseconds),25th Percentile Latency (microseconds),Median Latency (microseconds),Average Latency (microseconds),75th Percentile Latency (microseconds),90th Percentile Latency (microseconds),95th Percentile Latency (microseconds),99th Percentile Latency (microseconds),Maximum Latency (microseconds)
0,734,734.000,1,588,712,1371,1167,2196,3468,16913,20267
1,578,578.000,1,563,617,1708,1066,2463,15699,16187,16603
2,556,556.000,1,558,595,1817,1048,3014,15897,16442,16973
3,439,439.000,1,587,639,2273,1128,4230,16767,17193,17493
4,484,484.000,1,573,622,2049,1063,2893,16112,16674,17271
5,432,432.000,1,584,630,2330,1128,3978,16129,16460,16848
6,418,418.000,1,572,622,2386,1096,5477,16292,16674,17313
7,372,372.000,0,572,615,2653,1142,15831,16140,16491,16644
8,371,371.000,1,568,616,2697,1917,15803,16043,16359,16612
9,415,415.000,1,560,598,2437,1064,15707,16103,16252,16863
10,363,363.000,0,564,595,2743,1090,15846,16020,16400,16554
11,314,314.000,0,564,600,3151,1108,15856,16003,16176,16441
12,380,380.000,0,580,627,2660,1164,15750,15984,16290,17130
13,379,379.000,1,563,603,2602,1045,15523,15654,15940,16108
14,294,294.000,1,576,625,3417,1908,15707,17392,17767,17875
15,350,350.000,0,561,600,2850,1094,15484,15602,15759,15903
16,375,375.000,1,565,602,2694,1197,15514,15716,15995,16139
17,320,320.000,1,568,597,3095,1138,15565,15646,15719,15801
18,249,249.000,1,573,622,3987,2411,16435,16605,16774,16913
19,286,286.000,0,557,595,3498,2176,15712,15873,16080,16150
20,352,352.000,0,561,600,2843,1104,15665,15843,16040,16150
21,329,329.000,1,551,584,3034,1247,15583,15678,15788,15908
22,365,365.000,1,560,593,2751,1755,15513,15720,16184,16596
23,279,279.000,0,565,607,3574,2192,15635,15781,16044,16749
24,307,307.000,1,571,605,3261,1867,15605,15723,15910,16041
25,303,303.000,1,565,607,3320,1860,15564,15688,15835,15977
26,321,321.000,1,544,575,3074,1759,15520,15633,15785,16116
27,296,296.000,1,539,576,3381,1947,15531,15648,15867,15984
28,249,249.000,1,565,610,4038,2516,15620,15730,15841,16081
29,309,309.000,1,555,583,3213,1071,15781,15968,16177,16215
30,315,315.000,1,563,597,3203,1746,15779,16108,16317,16705
31,254,254.000,1,574,627,3916,2295,16267,16374,16668,16738
32,295,295.000,1,567,612,3399,1898,16255,16568,17586,17785
33,223,223.000,1,586,661,4449,3571,16510,16576,16893,17490
34,317,317.000,1,567,604,3149,1878,15743,15945,16108,16191
35,293,293.000,0,579,632,3451,1863,15777,15877,16107,16124
36,379,379.000,0,562,588,2619,992,15693,15878,16105,16416
37,251,251.000,0,567,608,4016,2956,15631,15715,16015,16337
38,261,261.000,1,552,582,3800,1959,15686,15821,16094,16180
39,281,281.000,0,554,587,3539,2155,15608,15720,15929,15967
40,294,294.000,1,550,594,3398,1848,15656,15791,16022,16118
41,286,286.000,0,559,592,3497,2366,15700,15828,15989,16153
42,263,263.000,0,565,598,3794,2236,15800,15874,16017,16196
43,257,257.000,1,560,608,3941,2578,15784,15944,16079,16301
44,309,309.000,0,554,591,3230,1815,15757,15920,16146,16193
45,279,279.000,0,557,597,3578,2049,15802,15952,16218,16511
46,213,213.000,0,555,602,4686,15533,15852,15928,16200,16296
47,304,304.000,0,550,586,3269,1846,15840,15955,16239,16425
48,242,242.000,1,550,605,4128,2668,16649,16813,17045,17269
49,276,276.000,0,557,594,3622,2122,15864,16102,16494,16591
50,272,272.000,1,576,623,3669,2161,15885,16013,16335,16621
51,270,270.000,0,566,603,3737,2441,15794,16009,16323,16383
52,249,249.000,1,567,613,3983,2442,15850,16194,16604,16815
53,259,259.000,1,567,630,3903,2412,15737,15947,16859,16928
54,253,253.000,0,574,612,3893,2329,16038,16266,16458,16518
55,275,275.000,0,576,624,3687,2660,16008,16107,16268,16722
56,328,328.000,0,564,593,3003,1463,15970,16236,16500,16568
57,264,264.000,0,579,642,3804,2635,16011,16150,16343,16528
58,260,260.000,0,549,594,3873,2432,15906,16134,16497,16745
59,259,259.000,0,555,593,3750,2447,16004,16129,16306,16382
