Transaction Type Index,Transaction Name,Start Time (microseconds),Latency (microseconds),Worker Id (start number),Phase Id (index in config file)
1,GetItem,1687746763.162577,1229,0,1
2,GetUserInfo,1687746763.163863,1020,0,1
3,NewBid,1687746763.164894,5268,0,1
3,NewBid,1687746763.170174,3579,0,1
3,NewBid,1687746763.173764,3568,0,1
1,GetItem,1687746763.177344,959,0,1
1,GetItem,1687746763.178312,949,0,1
1,GetItem,1687746763.179295,1020,0,1
1,GetItem,1687746763.180331,1294,0,1
3,NewBid,1687746763.181635,3576,0,1
1,GetItem,1687746763.185222,871,0,1
1,GetItem,1687746763.186103,840,0,1
1,GetItem,1687746763.186952,831,0,1
7,NewItem,1687746763.187798,10839,0,1
3,NewBid,1687746763.198664,3848,0,1
1,GetItem,1687746763.202524,952,0,1
7,NewItem,1687746763.203485,5856,0,1
3,NewBid,1687746763.209352,3644,0,1
2,GetUserInfo,1687746763.213007,1298,0,1
9,UpdateItem,1687746763.214315,3341,0,1
1,GetItem,1687746763.217666,796,0,1
3,NewBid,1687746763.218471,3345,0,1
1,GetItem,1687746763.221827,713,0,1
2,GetUserInfo,1687746763.222548,579,0,1
3,NewBid,1687746763.223135,3534,0,1
1,GetItem,1687746763.226681,887,0,1
4,NewComment,1687746763.227579,3762,0,1
9,UpdateItem,1687746763.231351,2660,0,1
1,GetItem,1687746763.234020,882,0,1
8,NewPurchase,1687746763.234913,27,0,1
7,NewItem,1687746763.234974,4912,0,1
1,GetItem,1687746763.239898,756,0,1
7,NewItem,1687746763.240668,5159,0,1
1,GetItem,1687746763.245866,695,0,1
1,GetItem,1687746763.246570,658,0,1
1,GetItem,1687746763.247236,667,0,1
8,NewPurchase,1687746763.247911,8,0,1
1,GetItem,1687746763.247923,638,0,1
1,GetItem,1687746763.248569,643,0,1
7,NewItem,1687746763.249219,4495,0,1
5,NewCommentResponse,1687746763.253726,2918,0,1
1,GetItem,1687746763.256653,716,0,1
2,GetUserInfo,1687746763.257377,664,0,1
1,GetItem,1687746763.258074,681,0,1
7,NewItem,1687746763.258764,6045,0,1
1,GetItem,1687746763.264820,897,0,1
1,GetItem,1687746763.265727,659,0,1
1,GetItem,1687746763.266394,706,0,1
1,GetItem,1687746763.267110,638,0,1
1,GetItem,1687746763.267756,658,0,1
1,GetItem,1687746763.268422,619,0,1
9,UpdateItem,1687746763.269048,2408,0,1
1,GetItem,1687746763.271464,649,0,1
8,NewPurchase,1687746763.272120,18,0,1
1,GetItem,1687746763.272174,679,0,1
1,GetItem,1687746763.272869,641,0,1
4,NewComment,1687746763.273517,3465,0,1
7,NewItem,1687746763.276990,5594,0,1
1,GetItem,1687746763.282594,724,0,1
8,NewPurchase,1687746763.283326,12,0,1
1,GetItem,1687746763.283342,680,0,1
8,NewPurchase,1687746763.284031,9,0,1
1,GetItem,1687746763.284043,710,0,1
1,GetItem,1687746763.284790,733,0,1
3,NewBid,1687746763.285531,3361,0,1
1,GetItem,1687746763.288901,666,0,1
7,NewItem,1687746763.289574,4389,0,1
7,NewItem,1687746763.293973,5476,0,1
1,GetItem,1687746763.299458,677,0,1
8,NewPurchase,1687746763.300142,7,0,1
7,NewItem,1687746763.300153,5424,0,1
1,GetItem,1687746763.305585,713,0,1
1,GetItem,1687746763.306305,613,0,1
6,NewFeedback,1687746763.306926,4494,0,1
1,GetItem,1687746763.311431,825,0,1
3,NewBid,1687746763.312265,3445,0,1
8,NewPurchase,1687746763.315719,8,0,1
3,NewBid,1687746763.315731,3792,0,1
1,GetItem,1687746763.319532,681,0,1
8,NewPurchase,1687746763.320222,7,0,1
5,NewCommentResponse,1687746763.320233,3551,0,1
1,GetItem,1687746763.323790,924,0,1
3,NewBid,1687746763.324728,4037,0,1
7,NewItem,1687746763.328806,4215,0,1
2,GetUserInfo,1687746763.333032,648,0,1
7,NewItem,1687746763.333687,4842,0,1
7,NewItem,1687746763.338538,4267,0,1
7,NewItem,1687746763.342815,4269,0,1
1,GetItem,1687746763.347092,708,0,1
7,NewItem,1687746763.347808,5068,0,1
5,NewCommentResponse,1687746763.352886,10,0,1
3,NewBid,1687746763.352900,3052,0,1
1,GetItem,1687746763.355961,675,0,1
8,NewPurchase,1687746763.356671,8,0,1
1,GetItem,1687746763.356684,685,0,1
1,GetItem,1687746763.357375,657,0,1
8,NewPurchase,1687746763.358039,28,0,1
7,NewItem,1687746763.358073,5446,0,1
3,NewBid,1687746763.363528,3064,0,1
1,GetItem,1687746763.366600,698,0,1
1,GetItem,1687746763.367306,618,0,1
1,GetItem,1687746763.367930,687,0,1
7,NewItem,1687746763.368629,4642,0,1
3,NewBid,1687746763.373281,3223,0,1
6,NewFeedback,1687746763.376512,4157,0,1
3,NewBid,1687746763.380678,3365,0,1
1,GetItem,1687746763.384052,726,0,1
7,NewItem,1687746763.384785,3869,0,1
7,NewItem,1687746763.388663,5503,0,1
7,NewItem,1687746763.394174,5341,0,1
3,NewBid,1687746763.399524,3044,0,1
9,UpdateItem,1687746763.402576,2684,0,1
3,NewBid,1687746763.405268,3489,0,1
3,NewBid,1687746763.408766,21782,0,1
1,GetItem,1687746763.430558,752,0,1
1,GetItem,1687746763.431319,664,0,1
1,GetItem,1687746763.431990,654,0,1
7,NewItem,1687746763.432651,4211,0,1
3,NewBid,1687746763.436871,3126,0,1
1,GetItem,1687746763.440005,667,0,1
1,GetItem,1687746763.440680,676,0,1
2,GetUserInfo,1687746763.441363,1674,0,1
7,NewItem,1687746763.443045,7266,0,1
1,GetItem,1687746763.450320,654,0,1
3,NewBid,1687746763.450984,3249,0,1
3,NewBid,1687746763.454243,2926,0,1
1,GetItem,1687746763.457209,829,0,1
2,GetUserInfo,1687746763.458058,575,0,1
1,GetItem,1687746763.458680,746,0,1
7,NewItem,1687746763.459435,3800,0,1
1,GetItem,1687746763.463244,641,0,1
6,NewFeedback,1687746763.463892,3189,0,1
3,NewBid,1687746763.467088,3660,0,1
8,NewPurchase,1687746763.470757,8,0,1
7,NewItem,1687746763.470769,4890,0,1
1,GetItem,1687746763.475668,670,0,1
7,NewItem,1687746763.476346,3768,0,1
9,UpdateItem,1687746763.480129,2665,0,1
9,UpdateItem,1687746763.482800,2523,0,1
2,GetUserInfo,1687746763.485335,904,0,1
3,NewBid,1687746763.486246,19192,0,1
3,NewBid,1687746763.505446,3008,0,1
2,GetUserInfo,1687746763.508463,520,0,1
1,GetItem,1687746763.508990,603,0,1
3,NewBid,1687746763.509600,2990,0,1
3,NewBid,1687746763.512599,3101,0,1
1,GetItem,1687746763.515708,702,0,1
7,NewItem,1687746763.516419,4121,0,1
3,NewBid,1687746763.520548,2887,0,1
1,GetItem,1687746763.523444,650,0,1
5,NewCommentResponse,1687746763.524101,6,0,1
1,GetItem,1687746763.524111,678,0,1
1,GetItem,1687746763.524796,589,0,1
1,GetItem,1687746763.525391,591,0,1
1,GetItem,1687746763.525988,693,0,1
3,NewBid,1687746763.526688,2953,0,1
7,NewItem,1687746763.529649,4054,0,1
8,NewPurchase,1687746763.533712,7,0,1
