Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,158.000,0.604,0.525,0.565,0.590,0.616,0.666,0.713,0.949,1.294,1.656
5,138.000,0.590,0.522,0.560,0.583,0.607,0.637,0.661,0.768,1.368,1.694
10,130.800,0.584,0.520,0.557,0.580,0.601,0.627,0.650,0.693,0.877,1.712
15,117.800,0.920,0.518,0.547,0.571,0.598,0.625,0.662,0.772,201.911,1.087
20,88.400,1.047,0.521,0.560,0.583,0.609,0.640,0.670,0.795,202.558,0.955
25,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
30,33.400,0.585,0.524,0.554,0.576,0.600,0.628,0.646,0.790,0.870,1.710
35,52.800,2.111,0.520,0.556,0.577,0.602,0.638,0.654,0.741,403.210,0.474
40,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
45,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
50,103.000,0.588,0.517,0.556,0.577,0.610,0.648,0.670,0.751,0.899,1.700
55,83.200,2.517,0.519,0.553,0.571,0.597,0.630,0.656,0.804,403.418,0.397
