Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,35.600,0.722,0.362,0.395,0.589,0.860,1.147,1.828,3.158,4.041,1.385
5,31.200,0.764,0.355,0.401,0.595,0.839,1.827,1.984,2.424,2.438,1.310
10,28.600,0.669,0.355,0.390,0.550,0.768,1.019,1.807,2.046,2.052,1.495
15,27.000,0.676,0.347,0.381,0.555,0.643,1.108,2.051,2.441,2.556,1.480
20,21.600,0.706,0.350,0.401,0.566,0.718,1.813,2.029,2.441,2.507,1.417
25,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
30,8.600,0.675,0.350,0.394,0.582,0.689,0.818,1.981,2.038,2.038,1.481
35,12.600,7.023,0.359,0.383,0.450,0.635,1.815,1.886,402.849,402.849,0.142
40,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
45,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
50,22.200,0.729,0.351,0.397,0.586,0.782,1.800,2.161,2.254,2.560,1.372
55,18.400,0.698,0.356,0.393,0.577,0.690,1.057,2.062,3.357,3.357,1.432
