Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,74.200,8.189,2.661,2.956,3.108,3.683,18.341,18.857,19.500,849.023,0.122
5,66.800,9.790,2.612,2.962,3.760,17.840,18.497,19.172,21.692,23.206,0.102
10,59.400,11.770,2.643,3.010,17.532,17.845,18.156,18.325,19.057,19.405,0.085
15,53.000,12.889,2.619,3.028,17.617,18.223,18.824,19.071,20.110,23.930,0.078
20,40.200,58.535,2.613,3.454,17.935,18.345,18.843,19.129,19.901,8980.778,0.017
25,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
30,18.600,15.033,2.634,17.506,17.752,18.032,18.231,18.346,19.336,19.336,0.067
35,25.000,110.529,2.706,17.700,17.989,18.425,18.947,19.151,19.964,11918.285,0.009
40,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
45,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
50,46.000,15.225,2.700,17.578,18.175,18.770,19.146,19.443,19.881,20.140,0.066
55,41.000,15.755,2.657,17.631,17.804,18.051,18.365,18.579,21.003,22.326,0.063
